rule,compute_mode,total_forwards_median,runtime_seconds_median,runtime_seconds_min,runtime_seconds_max,D_3z_<lambda>,D_3z,label,_sort
EProp,K=0_B=200,200.0,4.054903030395508,3.788095235824585,4.600684881210327,1.27377918170045,1.27377918170045,"EProp
K=0_B=200","(200, 0)"
RewardHebb,K=0_B=200,200.0,4.072164058685303,3.7341909408569336,4.7098469734191895,1.356188192430518,1.356188192430518,"RewardHebb
K=0_B=200","(200, 0)"
REINFORCE,K=1_B=200,200.0,2.883350372314453,2.8372604846954346,3.017683744430542,3.359242286473909,3.359242286473909,"REINFORCE
K=1_B=200","(200, 1)"
REINFORCE,K=5_B=200,200.0,2.739212274551392,2.6328043937683105,2.8236868381500244,3.210112930230338,3.210112930230338,"REINFORCE
K=5_B=200","(200, 5)"
REINFORCE,K=5_B=2000,2000.0,9.077725887298584,8.701127290725708,9.19522500038147,2.284495695173212,2.284495695173212,"REINFORCE
K=5_B=2000","(2000, 5)"
