patch_idx,rule,D_Patch,D_Global
0_9,EProp,1.2250778458787424,2.2927409517129944
2_0,Oja,3.5364131592107886,2.29508714335161
2_0,RewardHebb,1.6828313494439278,2.3490799315215614
2_0,REINFORCE,3.477506160387641,1.9740571856387426
2_0,EProp,1.2799101069208008,2.1092265460223323
2_1,Oja,3.048277554557503,2.3636188493170374
2_1,RewardHebb,1.8436206453691704,3.416661559033183
2_1,REINFORCE,3.327207858785065,2.079730419890556
2_1,EProp,1.7734151479275053,3.4364703637751126
2_2,Oja,2.4842913353558513,1.7948537237605957
2_2,RewardHebb,1.2482391640734865,2.3172919920417843
2_2,REINFORCE,2.7299566849939083,1.817241644058269
2_2,EProp,1.2728246200211102,2.394661931105597
2_3,Oja,2.9267483154880676,2.500008133799366
2_3,RewardHebb,1.7620088742263997,2.7932661836935844
2_3,REINFORCE,2.993502418344433,2.29975921935148
2_3,EProp,1.5305976408083053,2.6087648710677294
2_4,Oja,4.507544310702339,2.001169856655922
2_4,RewardHebb,1.785508963407504,2.722864983883763
2_4,REINFORCE,4.219083202204741,1.760626463194774
2_4,EProp,1.265668728399414,2.739496626720991
2_5,Oja,3.797588422923928,2.037381538592215
2_5,RewardHebb,1.3353039204139352,2.6987467183271767
2_5,REINFORCE,3.6286081130837013,1.8217648831179296
2_5,EProp,1.05265414302309,2.8236423617611788
2_6,Oja,3.2174625227461378,2.1033986004040988
2_6,RewardHebb,1.8895418469215364,3.3686013909687826
2_6,REINFORCE,3.4290464421727336,1.1773918325284727
2_6,EProp,1.495055082383329,3.2943684403985305
2_7,Oja,3.929980963968625,2.202965565891869
2_7,RewardHebb,1.9397106734463727,2.953752756904655
2_7,REINFORCE,3.8899616179418564,1.7234201266257712
2_7,EProp,1.5408811372896136,2.9670984069372293
2_8,Oja,4.079207545673351,1.7557304633197675
2_8,RewardHebb,2.1205290147235436,3.2918788347438066
2_8,REINFORCE,3.9949894010315505,1.394900808368508
2_8,EProp,1.6509992946463945,3.2169250565697647
2_9,Oja,3.5738571692322574,1.559836344951507
2_9,RewardHebb,1.7383041290313994,2.738184053207476
2_9,REINFORCE,3.402479100580798,1.2883542983360556
2_9,EProp,1.4103681245341346,2.831755676112724
1_0,Oja,2.338385251153583,2.3265660821964587
1_0,RewardHebb,1.4493584394048251,2.509223321567284
1_0,REINFORCE,2.5350217976191076,2.218878321766223
1_0,EProp,1.4641431619318537,2.3995892770953158
1_1,Oja,3.5019935158274826,1.8351939605602374
1_1,RewardHebb,2.0285778133462378,3.574279174065662
1_1,REINFORCE,3.179153203356838,1.459921928925349
1_1,EProp,1.9505014371640876,3.6840664300955908
1_2,Oja,4.410569531925299,2.0947620488033127
1_2,RewardHebb,1.805472327797757,3.3191686991894342
1_2,REINFORCE,4.115314436300148,1.8024709795438736
1_2,EProp,1.4648477368882196,3.4160611081199184
1_3,Oja,4.331588148406411,1.8139735108150403
1_3,RewardHebb,1.6647693342233412,2.5223097914100627
1_3,REINFORCE,3.9542937326895826,1.350681697977651
