subset,model,N_nodes,N_edges,n_obs,param_count_k,neg_log_likelihood_bits,param_bits,MDL_bits,bits_per_neuron,delta_mdl_bits_M3_minus_M2,delta_bits_per_neuron,interpretation
typed_all,M0_ER,53987,6503309,2914596169,1,66652352.95779425,15.720324429539549,66652368.67811868,1234.600342269781,0.0,0.0,
typed_all,M2_typeSBM,53987,6503309,2914596169,1087849,43503000.82843216,17101339.210350167,60604340.03878233,1122.5728423283815,0.0,0.0,
mapped_core,M0_ER,35781,3997892,1280279961,1,39033195.73503586,15.126906087645828,39033210.86194195,1090.8921176585884,0.0,0.0,
mapped_core,M2_typeSBM,35781,3997892,1280279961,538756,24738573.99310648,8149711.4161557155,32888285.409262195,919.1550099008468,0.0,0.0,
mapped_core,M3_type+dist,35781,3997892,1280279961,5387560,13626035.294364352,81497114.16155715,95123149.4559215,2658.482140128043,62234864.046659306,1739.327130227196,residual geometry cost
