split,n_test_dyads_exact,n_test_positive_dyads_exact,M0_ER_nll_bits_total,M0_ER_nll_bits_per_test_dyad,M2_typeSBM_nll_bits_total,M2_typeSBM_nll_bits_per_test_dyad,n_test_dyads_sampled,n_test_positive_dyads_sampled,M3_type+dist_nll_bits_total,M3_type+dist_nll_bits_per_test_dyad,M3_coordShuffle_nll_bits_total,M3_coordShuffle_nll_bits_per_test_dyad
0,256047373.0,798064.0,33720884.15318387,0.13169783293650067,19099421.810224418,0.07459331289536182,199445.0,638.0,90612.45706227886,0.4543230317244296,107135.4574454852,0.5371679282282594
1,256056140.0,800735.0,33790624.03067295,0.13196568545738818,19015341.939617407,0.07426239394070928,199465.0,626.0,78410.53971907117,0.393104252470715,100562.66345350328,0.504161950485064
2,256046865.0,799154.0,33815034.409201376,0.13206580134930132,19050018.79912301,0.07440051569904209,200191.0,640.0,75369.1626596707,0.376486268911543,97441.68301803872,0.48674357497609144
3,256042355.0,799369.0,33689736.973782554,0.13157876544989033,18959647.89174526,0.07404887324890158,199904.0,612.0,77897.61932691248,0.3896751407020994,104873.29598640419,0.5246182967144439
4,256048760.0,798908.0,33682615.62026605,0.1315476615480038,18898863.221403793,0.0738096260314004,199745.0,633.0,93233.00871548007,0.4667601627849512,116714.68693614709,0.5843184406926185
