alpha,beta,gamma,condition,E_trial,Eff_Global,Eff_Local
0.1,1.0,0.0,Null_Conn,9913447.115899874,1.0010728843861553e-07,1.0572795677551459e-08
0.1,1.0,0.0,Null_Strength,10068589.087656792,1.0724883846230053e-07,1.1847209510070991e-08
0.1,1.0,1.0,Real,19823140.83269745,5.475623976193339e-08,5.605096149173309e-09
0.1,1.0,1.0,Null_Conn,24849899.149466775,3.993611015816315e-08,4.217838075969424e-09
0.1,1.0,1.0,Null_Strength,19854124.54071614,5.438892469878881e-08,6.00805561321325e-09
0.1,1.0,10.0,Real,108998896.93447769,9.95827189812978e-09,1.019373713595142e-09
0.1,1.0,10.0,Null_Conn,159277967.4515689,6.23066909837425e-09,6.580499016506551e-10
0.1,1.0,10.0,Null_Strength,107923943.61825027,1.0005606248276311e-08,1.1052661753560418e-09
0.1,10.0,0.0,Real,98412884.5487481,1.1029456734723474e-08,1.1290250342254203e-09
0.1,10.0,0.0,Null_Conn,98400124.85886309,1.0085437506057817e-08,1.0651698965520212e-09
0.1,10.0,0.0,Null_Strength,99948038.15837559,1.080405883399418e-08,1.1934669913507308e-09
0.1,10.0,1.0,Real,108321301.89339036,1.0020565053197407e-08,1.0257503224548347e-09
0.1,10.0,1.0,Null_Conn,113336576.89243,8.756293308507672e-09,9.24792804675062e-10
0.1,10.0,1.0,Null_Strength,109733573.61143494,9.840602552771128e-09,1.087039093565566e-09
0.1,10.0,10.0,Real,197497057.9951706,5.495983906232648e-09,5.62593749364052e-10
0.1,10.0,10.0,Null_Conn,247764645.19453213,4.005447625802954e-09,4.23033926952441e-10
0.1,10.0,10.0,Null_Strength,197803392.68896908,5.459180805373542e-09,6.030467059776407e-10
0.1,100.0,0.0,Real,983394495.1556772,1.103769298706438e-09,1.1298681342352154e-10
0.1,100.0,0.0,Null_Conn,983266902.2884953,1.009296974750781e-09,1.0659654115548431e-10
0.1,100.0,0.0,Null_Strength,998742528.8655636,1.081204067510715e-09,1.1943487029412457e-10
0.1,100.0,1.0,Real,993302912.5003195,1.0927589546048013e-09,1.1185974484479016e-10
0.1,100.0,1.0,Null_Conn,998203354.3220623,9.941945251489883e-10,1.0500150131012698e-10
0.1,100.0,1.0,Null_Strength,1008528064.318623,1.0707133721012956e-09,1.1827601889579058e-10
