condition,base_component,spike_component,syn_component,wire_component
Real,78270.0,33244.81311544694,9833129.006743656,9908417.344642248
Null_Conn,78270.0,33240.333484062765,9831853.082551468,14936452.033566903
Null_Strength,78270.0,37136.353547025305,9986605.452302089,9785535.453059347
