condition,acc,mi_lb,mi_ci,mi_low,mi_high
Real,0.8333333333333334,1.0854406522697535,"1.12 [1.05, 1.20]",1.0481746881995382,1.204013781818308
Null_Conn,0.7666666666666667,0.99240830985235,"1.05 [0.94, 1.18]",0.9444428064266681,1.1837650659681687
Null_Strength,0.7333333333333333,1.0798444846053852,"1.13 [1.02, 1.28]",1.0218233882772392,1.2791243619461052
