condition,acc,mi_lb,mi_ci,mi_low,mi_high,local_mean,local_median,local_max,local_count,local_mean_ci_lo,local_mean_ci_hi
Real,0.8333333333333334,1.0854406522697535,"1.12 [1.05, 1.20]",1.0481746881995382,1.204013781818308,0.1111106103458726,0.0790639873159959,0.3832192432977646,47,0.08695576507982232,0.14289700699594873
Null_Conn,0.7666666666666667,0.99240830985235,"1.05 [0.94, 1.18]",0.944442806426668,1.1837650659681689,0.1048128508166211,0.0778274596705816,0.3768872616209175,47,0.08071787141128596,0.13657915441851237
Null_Strength,0.7333333333333333,1.0798444846053852,"1.13 [1.02, 1.28]",1.0218233882772392,1.2791243619461052,0.11928468439228451,0.1007915981740281,0.3786068331916161,47,0.09661114182122231,0.14922324518184782
