condition,base_component,spike_component,syn_component,wire_component,energy_total,share_base,share_spike,share_syn,share_wire
Real,78270.0,33244.81311544694,9833129.006743656,9908417.344642248,19853061.164501354,0.0039424650612547435,0.0016745434288436567,0.4952953564826552,0.49908763502724623
Null_Conn,78270.0,33240.333484062765,9831853.082551468,14936452.033566903,24879815.449602433,0.003145923656811157,0.001336036175645906,0.39517387508228385,0.6003441650852591
Null_Strength,78270.0,37136.353547025305,9986605.452302087,9785535.453059347,19887547.258908458,0.003935628611262739,0.0018673169226733272,0.5021537006192994,0.49204335384676456
