bin,n_neurons,acc,mi_lb,condition
"(7, 4)",12,0.4166666666666667,0.012458452446032497,Real
"(2, 4)",248,0.6333333333333333,0.2312308350527872,Null_Conn
"(2, 5)",231,0.5166666666666667,0.09184491948011986,Null_Conn
"(5, 7)",165,0.4,0.048361707009059396,Null_Conn
"(0, 1)",145,0.8166666666666667,0.06484352296809259,Null_Conn
"(0, 3)",33,0.5833333333333334,0.04239252202673405,Null_Conn
"(0, 0)",29,0.5,0.020490156077554333,Null_Conn
"(1, 1)",229,0.8166666666666667,0.37688726162091757,Null_Conn
"(1, 3)",235,0.6666666666666666,0.08653983235561258,Null_Conn
"(2, 6)",64,0.43333333333333335,0.03779758777857989,Null_Conn
"(2, 1)",246,0.8,0.10642150699777253,Null_Conn
"(1, 0)",150,0.8666666666666667,0.17000694080560175,Null_Conn
"(6, 6)",202,0.38333333333333336,0.03250781806200376,Null_Conn
"(7, 5)",70,0.4,0.033091971802450715,Null_Conn
"(3, 5)",215,0.5,0.12877674905480618,Null_Conn
"(2, 2)",237,0.7,0.2056577750480888,Null_Conn
"(2, 3)",240,0.6833333333333333,0.31427016646728956,Null_Conn
"(3, 1)",272,0.7666666666666667,0.37552469316673753,Null_Conn
"(4, 6)",216,0.45,0.04234906693154694,Null_Conn
"(4, 7)",86,0.2833333333333333,0.0004864477350405849,Null_Conn
"(5, 3)",230,0.5166666666666667,0.05501278000884846,Null_Conn
"(6, 7)",191,0.38333333333333336,0.01948883940927848,Null_Conn
"(7, 6)",80,0.35,0.026526342635674993,Null_Conn
"(5, 5)",225,0.43333333333333335,0.08683992892916659,Null_Conn
"(6, 5)",206,0.43333333333333335,0.05296083107484084,Null_Conn
"(5, 6)",203,0.43333333333333335,0.06975592602487524,Null_Conn
"(5, 2)",132,0.5333333333333333,0.07782745967058169,Null_Conn
"(4, 3)",230,0.6166666666666667,0.24107262450104594,Null_Conn
"(3, 4)",217,0.5666666666666667,0.09237893034561906,Null_Conn
"(4, 4)",212,0.5333333333333333,0.15917592610865094,Null_Conn
"(4, 5)",218,0.4666666666666667,0.0665962703458336,Null_Conn
"(6, 3)",99,0.5,0.10144223087073989,Null_Conn
"(1, 5)",48,0.36666666666666664,0.010495075435778212,Null_Conn
"(4, 2)",255,0.6833333333333333,0.1825851107721752,Null_Conn
"(3, 3)",224,0.5833333333333334,0.06380979879729765,Null_Conn
"(3, 0)",76,0.8,0.08944848689432816,Null_Conn
"(2, 0)",154,0.85,0.11557865231212072,Null_Conn
"(3, 2)",255,0.6666666666666666,0.2560211089359288,Null_Conn
"(1, 2)",235,0.7166666666666667,0.2893899148989645,Null_Conn
"(4, 1)",125,0.6666666666666666,0.06220470851381199,Null_Conn
"(3, 6)",181,0.4666666666666667,0.09634332882897056,Null_Conn
"(5, 4)",220,0.55,0.0813723036907068,Null_Conn
"(1, 4)",155,0.5833333333333334,0.05148383324261929,Null_Conn
"(6, 4)",193,0.4666666666666667,0.1005014981990553,Null_Conn
"(0, 2)",111,0.7333333333333333,0.053888667535703094,Null_Conn
"(3, 7)",10,0.36666666666666664,0.00821713482846742,Null_Conn
"(7, 7)",17,0.2833333333333333,0.0003889738005173893,Null_Conn
"(7, 4)",12,0.3333333333333333,0.005915821328797977,Null_Conn
"(2, 4)",248,0.6833333333333333,0.23440466939665616,Null_Strength
"(2, 5)",231,0.6,0.11557862587830003,Null_Strength
"(5, 7)",165,0.4666666666666667,0.07958703741500694,Null_Strength
"(0, 1)",145,0.8666666666666667,0.0644931240064357,Null_Strength
