epoch,J,MI_lb,E_total,E_met,compute_cost,rule,lambda,gamma,seed,energy_ratio
196,-40.373179640363645,1.2007989526553031,4157.397859301895,601.3303570676455,197,EProp,0.01,0.1,1,0.3980082260995306
197,-40.505764316371554,1.1690462878012458,4167.48106041728,610.9449257751626,198,EProp,0.01,0.1,1,0.3989735407326635
198,-40.312223835994594,1.244564403069106,4155.67882390637,601.0602582198928,199,EProp,0.01,0.1,1,0.3978436543526038
199,-40.438946956498,1.2137510770155364,4165.269803351353,608.9613382625389,200,EProp,0.01,0.1,1,0.3987618461746624
0,-104.25147220315304,0.0,10425.147220315304,1515.6536033255215,1,RewardHebb,0.01,0.1,0,1.0
1,-35.4352433541351,0.0,3543.52433541351,511.6124681953598,2,RewardHebb,0.01,0.1,0,0.33990161103032723
2,-31.71851276462392,0.0,3171.8512764623915,471.8500134790401,3,RewardHebb,0.01,0.1,0,0.3042500225110932
3,-28.81124468703907,0.0,2881.124468703907,409.21601230064806,4,RewardHebb,0.01,0.1,0,0.27636295275423156
4,-27.238444301022355,0.0047159066507287,2724.316020767308,393.4170742410776,5,RewardHebb,0.01,0.1,0,0.2613215874264567
5,-25.98927238111172,0.0159708209987963,2600.5243202110514,376.0915143078711,6,RewardHebb,0.01,0.1,0,0.2494472514636009
6,-25.11376305485322,0.0224279141212853,2513.61909689745,368.4971666214757,7,RewardHebb,0.01,0.1,0,0.2411111367328419
7,-24.288802562121973,0.0051455408661809,2429.394810298815,346.3140171421369,8,RewardHebb,0.01,0.1,0,0.2330321825637815
8,-23.876325180411577,0.0201941395380211,2389.65193199496,351.24668767041715,9,RewardHebb,0.01,0.1,0,0.22921996989532065
9,-23.37237688490636,0.0374081653674647,2340.9785050273827,340.34281035623286,10,RewardHebb,0.01,0.1,0,0.22455112197030255
10,-23.010134524352477,0.0545348710233017,2306.4669395375777,334.37522504187694,11,RewardHebb,0.01,0.1,0,0.22124070680201094
11,-22.72774936053694,0.0116649350233624,2273.94142955603,324.09698202159075,12,RewardHebb,0.01,0.1,0,0.21812079786507374
12,-22.57206629030169,0.0377843666425472,2260.985065694424,328.14496544151405,13,RewardHebb,0.01,0.1,0,0.2168779987383278
13,-22.35887411456942,0.0392674887720607,2239.8141603341483,321.42354051454447,14,RewardHebb,0.01,0.1,0,0.21484724512757586
14,-22.25577768659185,0.0890740053964447,2234.485169198829,327.14304419341863,15,RewardHebb,0.01,0.1,0,0.21433607813657793
15,-22.10574284361027,0.0569975885928526,2216.2740432203123,318.3063194530274,16,RewardHebb,0.01,0.1,0,0.2125892322078193
16,-22.091769716427574,0.0849555102466741,2217.6725226674253,326.73302771380065,17,RewardHebb,0.01,0.1,0,0.21272337702300118
17,-21.947130516837564,0.0842068853318376,2203.13374021694,318.6438222954646,18,RewardHebb,0.01,0.1,0,0.21132878928786075
18,-21.926484568952823,0.0946206253372192,2202.110519429004,322.13087669344714,19,RewardHebb,0.01,0.1,0,0.21123063999880876
19,-21.876838260402824,0.0730471298365293,2194.988539023935,318.98364041948383,20,RewardHebb,0.01,0.1,0,0.21054748605819196
20,-21.868487799781064,0.0032080839736234,2187.1695883754687,314.3253144158009,21,RewardHebb,0.01,0.1,0,0.2097974774028485
21,-21.79991757282853,0.0757821143927732,2187.5699687221304,317.466906703638,22,RewardHebb,0.01,0.1,0,0.20983588264914385
22,-21.74619895681014,0.1127030874202947,2185.8902044230435,317.7631570603237,23,RewardHebb,0.01,0.1,0,0.20967475645460787
23,-21.798026826630828,0.1372992098674825,2193.532603649831,326.7802625493588,24,RewardHebb,0.01,0.1,0,0.21040782996093635
24,-21.754383161351623,0.0897147634223851,2184.409792477401,319.35778959398306,25,RewardHebb,0.01,0.1,0,0.2095327525179385
25,-21.67704762081057,0.1023677877932947,2177.9415408603863,314.0346265632663,26,RewardHebb,0.01,0.1,0,0.20891230548919917
26,-21.67831712128503,0.0618778271273248,2174.0194948412354,310.5521820095516,27,RewardHebb,0.01,0.1,0,0.20853609535650117
27,-21.693577014698924,0.1144814156614408,2180.8058430360365,317.7374083369119,28,RewardHebb,0.01,0.1,0,0.209187054815527
28,-21.69230488808332,0.0971601351104425,2178.946502319376,316.3634034333396,29,RewardHebb,0.01,0.1,0,0.2090087033086018
29,-21.708769505567822,0.0515581423456135,2176.032764791344,313.8739991376092,30,RewardHebb,0.01,0.1,0,0.20872921204901035
30,-21.67513393531044,0.1060338350339433,2178.116777034438,316.45672998856,31,RewardHebb,0.01,0.1,0,0.20892911447715382
31,-21.658064484880423,0.1194763849693489,2177.754086984977,316.29800417505635,32,RewardHebb,0.01,0.1,0,0.20889432455603366
32,-21.67197316276889,0.0998152443398643,2177.178840710875,315.7791519170926,33,RewardHebb,0.01,0.1,0,0.2088391458365446
33,-21.626912768041983,0.1039264164268933,2173.083918446888,311.83855719051945,34,RewardHebb,0.01,0.1,0,0.20844635308480222
34,-21.654342227095757,0.1034548645748065,2175.779709167056,314.33780854287227,35,RewardHebb,0.01,0.1,0,0.20870493847100322
35,-21.62087454235703,0.11537579130907,2173.62503336661,312.21081172979723,36,RewardHebb,0.01,0.1,0,0.20849825785969758
36,-21.611082294224374,0.090421033827635,2170.1503328052013,308.5116813837491,37,RewardHebb,0.01,0.1,0,0.2081649579563027
37,-21.639663220702044,0.1751512688940821,2181.481448959613,319.5729387275633,38,RewardHebb,0.01,0.1,0,0.209251860223959
38,-21.62607742634057,0.1297531006231471,2175.583052696372,313.6385434034796,39,RewardHebb,0.01,0.1,0,0.20868607480735146
39,-21.66024777758832,0.123345880037494,2178.359365762581,316.281331822452,40,RewardHebb,0.01,0.1,0,0.20895238405052446
40,-21.652082580769275,0.1176484482556219,2176.9731029024897,315.0330967886191,41,RewardHebb,0.01,0.1,0,0.20881941107366425
41,-21.6369131057756,0.0949263214036033,2173.18394271792,311.30578969811086,42,RewardHebb,0.01,0.1,0,0.20845594760360547
42,-21.59479268852652,0.1377390264337741,2173.2531714960296,311.31709061770994,43,RewardHebb,0.01,0.1,0,0.20846258816000687
43,-21.68543572485201,0.0908390620854788,2177.6274786937483,315.327143850525,44,RewardHebb,0.01,0.1,0,0.2088821800473228
44,-21.607391605933586,0.1136325669337532,2172.1024172867337,310.1523087225015,45,RewardHebb,0.01,0.1,0,0.20835220562199785
45,-21.539865391264108,0.1329490697688236,2167.281446103293,305.06274682863216,46,RewardHebb,0.01,0.1,0,0.20788976887347443
46,-21.599133620781775,0.1435192273104366,2174.265284809221,311.3235032845499,47,RewardHebb,0.01,0.1,0,0.20855967199890166
47,-21.58929387908173,0.1159671731251794,2170.526105220691,307.35556429849873,48,RewardHebb,0.01,0.1,0,0.20820100276291775
48,-21.68348999085985,0.1403918221586337,2182.388181301849,318.94334567563885,49,RewardHebb,0.01,0.1,0,0.20933883571917974
49,-21.691577880647475,0.1398282985041108,2183.1406179151586,320.1582828010786,50,RewardHebb,0.01,0.1,0,0.20941101087387143
50,-21.55228616862162,0.1305045658327337,2168.279073445435,305.77935405449807,51,RewardHebb,0.01,0.1,0,0.20798546319040437
51,-21.60968889930024,0.1588871098633784,2176.8576009163617,313.7574359137407,52,RewardHebb,0.01,0.1,0,0.20880833190291614
52,-21.697120467645945,0.1868382754672151,2188.395874311316,325.16470571479374,53,RewardHebb,0.01,0.1,0,0.20991510508809189
53,-21.55041323982858,0.1405414554780262,2169.0954695306605,306.43001236718914,54,RewardHebb,0.01,0.1,0,0.20806377345959984
54,-21.61831608828313,0.1450710755469968,2176.338716383013,313.07904431227604,55,RewardHebb,0.01,0.1,0,0.20875855950907046
55,-21.577137287039047,0.1776790996564217,2175.481638669547,312.1768801109276,56,RewardHebb,0.01,0.1,0,0.2086763469805226
56,-21.58636931382276,0.1635040457889784,2174.987335961174,311.3353154104998,57,RewardHebb,0.01,0.1,0,0.20862893252220108
57,-21.55720042440747,0.1685552801631962,2172.5755704570665,308.6813944635483,58,RewardHebb,0.01,0.1,0,0.20839759137630268
58,-21.62642591542117,0.1786915235360577,2180.5117438957222,316.1887729934713,59,RewardHebb,0.01,0.1,0,0.20915884426520104
59,-21.578160741985272,0.1630053564999207,2174.116609848519,309.91913548180503,60,RewardHebb,0.01,0.1,0,0.20854541081317832
60,-21.550770764985423,0.1797931758782223,2173.0563940863644,308.6120673803954,61,RewardHebb,0.01,0.1,0,0.20844371289565744
61,-21.571040988364604,0.1711751920500401,2174.2216180414644,309.35664605624703,62,RewardHebb,0.01,0.1,0,0.2085554833992748
62,-21.56599718503988,0.1896446551388928,2175.564184017877,310.4685587804071,63,RewardHebb,0.01,0.1,0,0.2086842648877315
63,-21.632294656754823,0.1787261768387953,2181.102083359362,315.7599484166025,64,RewardHebb,0.01,0.1,0,0.2092154707522102
64,-21.579143671906067,0.2036128861165997,2178.2756558022666,313.2076288019547,65,RewardHebb,0.01,0.1,0,0.2089443544315133
65,-21.594652535837927,0.1905934564463152,2178.524599228424,313.30316119634244,66,RewardHebb,0.01,0.1,0,0.2089682335596346
66,-21.55240812125057,0.2204089589426492,2177.281708019322,312.0382167835379,67,RewardHebb,0.01,0.1,0,0.20884901306491777
67,-21.563198118152343,0.206414530798046,2176.9612648950388,311.383346737416,68,RewardHebb,0.01,0.1,0,0.2088182755494169
68,-21.668125180296293,0.194065845085146,2186.219102538144,320.42139805940235,69,RewardHebb,0.01,0.1,0,0.20970630498894985
69,-21.65694585265735,0.2115823121550497,2186.85281648124,321.6595273957478,70,RewardHebb,0.01,0.1,0,0.20976709203873475
70,-21.59930732406456,0.2380657502529262,2183.7373074317484,319.0050240524974,71,RewardHebb,0.01,0.1,0,0.2094682464700678
71,-21.59409554637125,0.2059940836946445,2180.008963006589,315.2436940377888,72,RewardHebb,0.01,0.1,0,0.20911061656361488
72,-21.576147989023227,0.2267333100632296,2180.2881299086453,315.45434954093844,73,RewardHebb,0.01,0.1,0,0.2091373947851744
73,-21.55926583832108,0.2421547353553341,2180.142057367641,315.1113251467532,74,RewardHebb,0.01,0.1,0,0.20912338322851076
74,-21.565060389430013,0.2261349863292219,2179.1195375759235,313.78349616357946,75,RewardHebb,0.01,0.1,0,0.20902530118035273
75,-21.59529932109532,0.2306007902456999,2182.5900111341016,317.02565067437166,76,RewardHebb,0.01,0.1,0,0.2093581956215377
76,-21.5746105106061,0.2256405384902056,2180.0251049096305,314.481549724507,77,RewardHebb,0.01,0.1,0,0.20911216492573392
77,-21.59413936793328,0.2144212572780688,2180.856062521135,315.17527619410794,78,RewardHebb,0.01,0.1,0,0.20919187196429595
78,-21.53994432175132,0.2354554155896497,2177.5399737340967,311.8828827155181,79,RewardHebb,0.01,0.1,0,0.20887378640473894
79,-21.585884608590085,0.2481140346242165,2183.39986432143,317.3624226938454,80,RewardHebb,0.01,0.1,0,0.20943587828349094
80,-21.57334109596148,0.2453792049385494,2181.872030090003,315.8322749651224,81,RewardHebb,0.01,0.1,0,0.20928932551074453
81,-21.565411501636746,0.2549217080978021,2182.0333209734545,315.8965985064806,82,RewardHebb,0.01,0.1,0,0.20930479683983397
82,-21.54621971961925,0.2349869478141815,2178.1206667433435,311.8366421457289,83,RewardHebb,0.01,0.1,0,0.2089294875854489
83,-21.53322811092492,0.2866105523527347,2181.983866327765,315.42660351162385,84,RewardHebb,0.01,0.1,0,0.20930005305591953
84,-21.59302114406546,0.280209698303044,2187.3230842368503,320.41804457455817,85,RewardHebb,0.01,0.1,0,0.20981220101855746
85,-21.60758443959601,0.3112925010365561,2191.8876940632567,325.12476862458493,86,RewardHebb,0.01,0.1,0,0.2102500470968854
86,-21.54495538547493,0.2523044444921449,2179.7259829967074,313.2090497593057,87,RewardHebb,0.01,0.1,0,0.20908347258148194
87,-21.536172718843822,0.2778129841480101,2181.398570299183,314.6226473925261,88,RewardHebb,0.01,0.1,0,0.2092439103448179
88,-21.51966187066945,0.2795675543109475,2179.9229424980394,312.84599938125064,89,RewardHebb,0.01,0.1,0,0.20910236531241125
89,-21.52859821533866,0.2202476534399808,2174.884586877864,307.4175316361832,90,RewardHebb,0.01,0.1,0,0.20861907663420848
90,-21.55276280519834,0.2648453484838011,2181.760815368214,314.01474570606774,91,RewardHebb,0.01,0.1,0,0.20927865758256675
91,-21.54712568834912,0.2854157338591134,2183.2541422208237,315.4307396557535,92,RewardHebb,0.01,0.1,0,0.2094219003417385
92,-21.529317625665595,0.2818956916396464,2181.121331730524,313.1859490598472,93,RewardHebb,0.01,0.1,0,0.2092173170926748
93,-21.504873586157984,0.2860506032202035,2179.092418937819,310.9231559955899,94,RewardHebb,0.01,0.1,0,0.209022699908876
94,-21.575137276267384,0.3053259159027721,2188.0463192170155,319.48739414569826,95,RewardHebb,0.01,0.1,0,0.20988157509691638
95,-21.49502524419931,0.2856930531492363,2178.071829734855,309.689708962005,96,RewardHebb,0.01,0.1,0,0.20892480304647246
96,-21.544766412883025,0.3262200427702275,2187.098645565325,318.2796790418271,97,RewardHebb,0.01,0.1,0,0.20979067243322605
97,-21.52024747359948,0.2932027810008493,2181.345025460033,312.4972973492718,98,RewardHebb,0.01,0.1,0,0.20923877422174755
98,-21.59745206172606,0.2949189370941854,2189.2370998820243,320.1811107408827,99,RewardHebb,0.01,0.1,0,0.20999579704887963
99,-21.53054309925801,0.3007289642621198,2183.127206352013,314.47320756283136,100,RewardHebb,0.01,0.1,0,0.2094097244111614
100,-21.45991641471307,0.3148878860902178,2177.480430080329,308.6754193226073,101,RewardHebb,0.01,0.1,0,0.20886807486393194
101,-21.543236760974096,0.2876198943066086,2183.0856655280704,313.6293012310723,102,RewardHebb,0.01,0.1,0,0.20940573973611895
102,-21.55745389598937,0.3627670820429678,2192.022097803234,322.59230254286115,103,RewardHebb,0.01,0.1,0,0.2102629393599045
103,-21.531844571885767,0.2780974907915459,2180.994206267731,311.7003645952034,104,RewardHebb,0.01,0.1,0,0.20920512297588137
104,-21.568763433071773,0.345079783042399,2191.3843216114174,322.016793485344,105,RewardHebb,0.01,0.1,0,0.21020176265147647
105,-21.535850827804367,0.3097505042822313,2184.56013320866,315.4102472529379,106,RewardHebb,0.01,0.1,0,0.20954717348754992
106,-21.56025398105825,0.3284056237762529,2188.86596048345,319.65771700773064,107,RewardHebb,0.01,0.1,0,0.20996019665008134
107,-21.53113909005252,0.2935315927212834,2182.4670682773803,313.3932647090577,108,RewardHebb,0.01,0.1,0,0.20934640270829408
108,-21.534471406472694,0.3449799510762448,2187.9451357548937,318.7705937272808,109,RewardHebb,0.01,0.1,0,0.20987186938629346
109,-21.56695692960636,0.3489626703844815,2191.591959999084,322.35014048642034,110,RewardHebb,0.01,0.1,0,0.21022167972154546
110,-21.542875949705724,0.3209660303804287,2186.3841980086154,317.3338721325724,111,RewardHebb,0.01,0.1,0,0.20972214126128083
111,-21.502020055752503,0.367102023081939,2186.9122078834444,317.84713246150034,112,RewardHebb,0.01,0.1,0,0.20977278897528145
112,-21.581161001192047,0.3649806987890138,2194.6141699981063,325.2229724030413,113,RewardHebb,0.01,0.1,0,0.21051157586738914
113,-21.47312709529539,0.3234066497287964,2179.6533745024185,310.5838457788825,114,RewardHebb,0.01,0.1,0,0.20907650783626017
114,-21.549429359248897,0.3241985099650977,2187.362786921399,317.76558060235226,115,RewardHebb,0.01,0.1,0,0.2098160093757643
115,-21.522115415543148,0.3277823790548853,2184.9897794598032,315.4848241537346,116,RewardHebb,0.01,0.1,0,0.20958838597520726
116,-21.505127784893453,0.3358390075749913,2184.0966792468444,314.46800145562446,117,RewardHebb,0.01,0.1,0,0.2095027180998205
117,-21.484487708235587,0.3381462069546925,2182.263391519028,312.39640538570006,118,RewardHebb,0.01,0.1,0,0.20932686564526293
118,-21.48642968391776,0.3375361247694854,2182.396580868724,312.162872476581,119,RewardHebb,0.01,0.1,0,0.20933964142165065
119,-21.489831279137704,0.3255726561190792,2181.540393525678,310.99123175472624,120,RewardHebb,0.01,0.1,0,0.20925751429913125
120,-21.47662668638207,0.3403931086368619,2181.701979501893,310.89561857485603,121,RewardHebb,0.01,0.1,0,0.20927301393408126
121,-21.5005301204933,0.4120421270805741,2191.257224757387,320.1208640181189,122,RewardHebb,0.01,0.1,0,0.21018957127889015
122,-21.501872149032845,0.3450666075180923,2184.693875655093,313.4331258300526,123,RewardHebb,0.01,0.1,0,0.20956000231803132
123,-21.50671777797081,0.3561673798581788,2186.2885157828987,314.92974359542865,124,RewardHebb,0.01,0.1,0,0.20971296323974362
124,-21.493231496469026,0.3775923791408972,2187.082387560992,315.6708348378794,125,RewardHebb,0.01,0.1,0,0.20978911293444974
125,-21.5136868701966,0.3884708075574283,2190.2157677754026,318.6544221947905,126,RewardHebb,0.01,0.1,0,0.21008967273933235
126,-21.49656784866317,0.3234633515722929,2182.003120023546,310.4621270141108,127,RewardHebb,0.01,0.1,0,0.20930189990713172
127,-21.47046856184068,0.4066622895265981,2187.7130851367274,316.0632635822792,128,RewardHebb,0.01,0.1,0,0.20984961064852578
128,-21.490615316835207,0.3920490324646084,2188.2664349299816,316.31841557921064,129,RewardHebb,0.01,0.1,0,0.20990268901581982
129,-21.49250627851917,0.3316780808352644,2182.418435935443,310.3547204570337,130,RewardHebb,0.01,0.1,0,0.2093417378013235
130,-21.50075208339526,0.407959756944579,2190.871184033984,318.7200781377083,131,RewardHebb,0.01,0.1,0,0.21015254151660046
131,-21.47335943470281,0.3620320251412234,2183.539145984404,311.3693724762753,132,RewardHebb,0.01,0.1,0,0.2094492384461851
132,-21.470288718764145,0.3827648836458901,2185.305360241004,312.9169702348339,133,RewardHebb,0.01,0.1,0,0.20961865708548819
133,-21.50829381574292,0.3862781426111321,2189.457195835405,316.8469463417512,134,RewardHebb,0.01,0.1,0,0.21001690907240594
134,-21.500283692576083,0.3996459826528022,2189.9929675228886,317.4684768944952,135,RewardHebb,0.01,0.1,0,0.21006830131427662
135,-21.46201150568407,0.4331931055251843,2189.5204611209256,317.0123477362857,136,RewardHebb,0.01,0.1,0,0.21002297759922708
136,-21.49945103282766,0.3858812691195417,2188.53323019472,315.74825470601195,137,RewardHebb,0.01,0.1,0,0.2099282805263376
137,-21.490950659128394,0.4263778044736721,2191.7328463602066,318.9837717543743,138,RewardHebb,0.01,0.1,0,0.21023519380994588
138,-21.501607610976148,0.4253355861417605,2192.6943197117907,319.9127097770444,139,RewardHebb,0.01,0.1,0,0.21032742016716321
139,-21.494890815980696,0.4253506158567699,2192.0241431837467,319.2951987249839,140,RewardHebb,0.01,0.1,0,0.21026313555670342
140,-21.465720393274697,0.4158109904828539,2188.153138375755,315.4199091311337,141,RewardHebb,0.01,0.1,0,0.209891821394305
141,-21.53245655395084,0.3879832914383314,2192.043984538917,319.0870322882878,142,RewardHebb,0.01,0.1,0,0.21026503877732475
142,-21.50529499444184,0.4093813388938616,2191.46763333357,318.81818503101454,143,RewardHebb,0.01,0.1,0,0.21020975407072381
143,-21.466315126064167,0.4094048478758396,2187.571997394001,314.9903615788733,144,RewardHebb,0.01,0.1,0,0.20983607724321793
144,-21.484563571178303,0.450822372807762,2193.5385943986066,320.72218697331743,145,RewardHebb,0.01,0.1,0,0.21040840460498206
145,-21.45852361867096,0.4152955679797894,2187.3819186650744,314.490866985347,146,RewardHebb,0.01,0.1,0,0.20981784452909796
146,-21.496209168232312,0.4298740484085304,2192.6083216640845,319.45517309530675,147,RewardHebb,0.01,0.1,0,0.2103191710704465
147,-21.503643227693345,0.4174513255656067,2192.1094553258954,319.0058931181867,148,RewardHebb,0.01,0.1,0,0.21027131886005115
148,-21.49319877300124,0.4108066912889945,2190.400546429023,317.39828607960595,149,RewardHebb,0.01,0.1,0,0.2101073970601228
149,-21.43198626450008,0.3975744496477125,2182.95607141478,309.9648959509964,150,RewardHebb,0.01,0.1,0,0.20939330882166263
150,-21.44658175653458,0.4453932654343271,2189.1975021968906,315.7664296887868,151,RewardHebb,0.01,0.1,0,0.2099919987634169
151,-21.43629024079815,0.4072043011416042,2184.349454193976,310.6213068375318,152,RewardHebb,0.01,0.1,0,0.20952696475473956
152,-21.41022260151492,0.4314741976985949,2184.1696799213514,310.1042418929445,153,RewardHebb,0.01,0.1,0,0.20950972046371658
153,-21.480546664495947,0.4835717704042146,2196.411843490016,321.8528390334387,154,RewardHebb,0.01,0.1,0,0.21068401213652946
154,-21.43219969348342,0.4334079606757592,2186.5607654159176,312.0786075051284,155,RewardHebb,0.01,0.1,0,0.20973907794366725
155,-21.458840956416417,0.4243127482535418,2188.315370466996,313.5400282509437,156,RewardHebb,0.01,0.1,0,0.20990738300584028
156,-21.486250479855997,0.4835042680701211,2196.9754747926117,322.1336296865767,157,RewardHebb,0.01,0.1,0,0.21073807672580427
157,-21.436687857889567,0.4551581009898209,2189.1845958879385,314.4934432085827,158,RewardHebb,0.01,0.1,0,0.2099907607656525
158,-21.47592450545441,0.4419110218622055,2191.783552731662,316.8521576289744,159,RewardHebb,0.01,0.1,0,0.21024005766178258
159,-21.423473676757457,0.4599310883864285,2188.3404765143887,313.4875148347111,160,RewardHebb,0.01,0.1,0,0.20990979122577832
160,-21.473557562484725,0.4578254723911108,2193.1383034875835,317.9625838761898,161,RewardHebb,0.01,0.1,0,0.21037000793752367
161,-21.45858176567644,0.4368174476719986,2189.539921334844,314.45001420853123,162,RewardHebb,0.01,0.1,0,0.2100248442600528
162,-21.44280503595665,0.4491183223175694,2189.1923358274216,314.0660711662456,163,RewardHebb,0.01,0.1,0,0.20999150319540624
163,-21.447262341485228,0.4973871651806796,2194.4649506665905,319.1877229448512,164,RewardHebb,0.01,0.1,0,0.21049726246457937
164,-21.49956721674527,0.4676665677776954,2196.7233784522964,321.3416783988127,165,RewardHebb,0.01,0.1,0,0.21071389516414496
165,-21.47357273040787,0.4715975997962429,2194.5170330204114,319.4468608395978,166,RewardHebb,0.01,0.1,0,0.21050225830326827
166,-21.445971835088127,0.4962409065462472,2194.2212741634376,319.22817356336896,167,RewardHebb,0.01,0.1,0,0.21047388854975557
167,-21.405621562097465,0.4338656276567496,2183.9487189754213,308.8134128904437,168,RewardHebb,0.01,0.1,0,0.20948852546845556
168,-21.46006396042839,0.5195242662676778,2197.9588226696064,322.4042991890959,169,RewardHebb,0.01,0.1,0,0.21083240132920925
169,-21.460114652313152,0.4767904679949932,2193.6905120308147,318.15994054041573,170,RewardHebb,0.01,0.1,0,0.21042297683393937
170,-21.456166025054863,0.5041364857194006,2196.0302510774263,320.5212107903598,171,RewardHebb,0.01,0.1,0,0.21064740906469503
171,-21.368223454835107,0.4623657343619518,2183.058918919706,307.53894739931843,172,RewardHebb,0.01,0.1,0,0.20940317415044427
172,-21.42785858662147,0.4676389703447343,2189.54975569662,313.38168241542667,173,RewardHebb,0.01,0.1,0,0.21002578759078647
173,-21.47028220200855,0.4961488300766534,2196.64310320852,320.320248246397,174,RewardHebb,0.01,0.1,0,0.21070619500969345
174,-21.4145850079266,0.4835350547748853,2189.8120062701487,313.6733964436981,175,RewardHebb,0.01,0.1,0,0.21005094316585762
175,-21.41778799751481,0.4766130610458403,2189.440105856065,313.04522025163504,176,RewardHebb,0.01,0.1,0,0.2100152697690006
176,-21.440776122162717,0.5145018882179864,2195.52780103807,318.9264866944011,177,RewardHebb,0.01,0.1,0,0.21059921309885032
177,-21.42890185875893,0.4953035659402149,2192.420542469915,315.8048908404778,178,RewardHebb,0.01,0.1,0,0.21030115893208517
178,-21.44753054251085,0.5405308574446623,2198.806139995552,322.0880262492165,179,RewardHebb,0.01,0.1,0,0.21091367762277508
179,-21.439768254532908,0.4736924214477458,2191.346067598065,314.67812620295024,180,RewardHebb,0.01,0.1,0,0.21019809325357314
180,-21.445581555524445,0.5305055329371564,2197.60870884616,320.9259470080812,181,RewardHebb,0.01,0.1,0,0.21079881774366868
181,-21.41616195281093,0.5254311716894291,2194.159312450036,317.5078116463041,182,RewardHebb,0.01,0.1,0,0.21046794506405775
182,-21.415120893011945,0.5185540822927575,2193.3674975304702,316.51956667196407,183,RewardHebb,0.01,0.1,0,0.21039199266714362
183,-21.418793361369804,0.5679806721811831,2198.6774033550987,321.6460966824929,184,RewardHebb,0.01,0.1,0,0.21090132895874833
184,-21.37632270668398,0.465233902133642,2184.155660881762,306.9830896676826,185,RewardHebb,0.01,0.1,0,0.2095083757307077
185,-21.43767940044916,0.5124403278813845,2195.011972833054,317.4121959768247,186,RewardHebb,0.01,0.1,0,0.21054973387384615
186,-21.390031109635125,0.5262830984597384,2191.6314208094864,314.09593017308714,187,RewardHebb,0.01,0.1,0,0.21022546487772298
187,-21.421826323495896,0.5315855156304643,2195.341183912636,317.50692617123264,188,RewardHebb,0.01,0.1,0,0.21058131242833797
188,-21.430909969296447,0.5136588080323201,2194.456877732877,316.590238639901,189,RewardHebb,0.01,0.1,0,0.2104964880933841
189,-21.383105642810538,0.5103057271173945,2189.341136992793,311.5142291395261,190,RewardHebb,0.01,0.1,0,0.2100057764869221
190,-21.43430230296879,0.5268544116216276,2196.1156714590416,317.969707851514,191,RewardHebb,0.01,0.1,0,0.2106556027505788
191,-21.37795932063674,0.5438732723449053,2192.183259298165,314.1323870194267,192,RewardHebb,0.01,0.1,0,0.21027839827780037
192,-21.40132380806138,0.5680414820234239,2196.9365290084806,318.54620349564107,193,RewardHebb,0.01,0.1,0,0.21073434097192875
193,-21.37519615034876,0.5514538744432791,2192.6650024792034,314.14235836810366,194,RewardHebb,0.01,0.1,0,0.21032460800231145
194,-21.399526094903457,0.5689772712039303,2196.850336610739,318.01600678079683,195,RewardHebb,0.01,0.1,0,0.21072607323278605
195,-21.376828193568898,0.5886479183204583,2196.547611188936,317.6125300034122,196,RewardHebb,0.01,0.1,0,0.21069703523309116
196,-21.35990895172411,0.5998718297155916,2195.97807814397,316.7784464267775,197,RewardHebb,0.01,0.1,0,0.21064240453743477
197,-21.383997085467183,0.5607657785605706,2194.476286402776,314.91287042183274,198,RewardHebb,0.01,0.1,0,0.21049834981000923
198,-21.426092310520108,0.5589203583988436,2198.5012668918957,318.7940612970283,199,RewardHebb,0.01,0.1,0,0.2108844336133416
199,-21.401455870003385,0.5319442462467521,2193.3400116250136,313.82294397345794,200,RewardHebb,0.01,0.1,0,0.21038935616668222
0,-104.45507370649788,0.0,10445.507370649788,1536.0137536600052,1,RewardHebb,0.01,0.1,1,1.0
1,-35.55417071456435,0.0,3555.417071456435,508.35054338684,2,RewardHebb,0.01,0.1,1,0.3403776327272135
2,-31.71215098734397,0.0,3171.215098734397,450.77764539035104,3,RewardHebb,0.01,0.1,1,0.30359608070786553
3,-29.370804616467385,0.0,2937.0804616467385,425.73746319567886,4,RewardHebb,0.01,0.1,1,0.28118121575400606
4,-27.65061976037132,0.0010815250344347,2765.170128540575,406.8597203318189,5,RewardHebb,0.01,0.1,1,0.2647233906808838
5,-26.186083470039385,0.0,2618.6083470039384,374.09311811491887,6,RewardHebb,0.01,0.1,1,0.25069230761942796
6,-25.26205889949113,0.0145532803749746,2527.6612179866106,361.53518374606057,7,RewardHebb,0.01,0.1,1,0.2419854898660965
7,-24.49110554183987,0.051198769007799,2454.2304310847667,347.4015056232815,8,RewardHebb,0.01,0.1,1,0.23495559803832636
8,-23.97139724709805,0.0039786012348974,2397.5375848332947,335.5889083315419,9,RewardHebb,0.01,0.1,1,0.22952811192015368
9,-23.676068367104325,0.0387346681846949,2371.480303528902,344.37102811953844,10,RewardHebb,0.01,0.1,1,0.2270335197112956
10,-23.354567748246,0.0526057810500524,2340.717352929605,343.9095465248068,11,RewardHebb,0.01,0.1,1,0.22408843054447006
11,-22.96036783273047,0.070719658926575,2303.1087491657045,330.87125273585866,12,RewardHebb,0.01,0.1,1,0.22048797319669441
12,-22.80900826666197,0.082821754118517,2289.183002078048,334.91949273086266,13,RewardHebb,0.01,0.1,1,0.21915479266333082
13,-22.43146855245029,0.039369332451117,2247.0837884901407,308.00165373577545,14,RewardHebb,0.01,0.1,1,0.21512442706268997
