epoch,J,MI_lb,E_total,E_met,compute_cost,rule,lambda,gamma,seed,energy_ratio
46,-40.71516619966299,0.2612611195712042,4097.642731923419,593.4602082238101,47,EProp,0.01,0.1,0,0.3930537042142113
47,-40.67220597690754,0.2676118321700329,4093.981780907757,590.3097365450004,48,EProp,0.01,0.1,0,0.3927025388121029
48,-40.76494663216779,0.2260099866668761,4099.095661883466,595.1425100804379,49,EProp,0.01,0.1,0,0.39319307202641984
49,-40.69439864262206,0.2524856324655395,4094.688427508761,592.0805919163914,50,EProp,0.01,0.1,0,0.39277032170150195
50,-40.62946174597244,0.3186172101997302,4094.8078956172176,592.194972384915,51,EProp,0.01,0.1,0,0.3927817813102664
51,-40.68657521353187,0.2741651345638889,4096.074034809575,592.3377816213037,52,EProp,0.01,0.1,0,0.3929032317958663
52,-40.716804055085646,0.2722155152962653,4098.901957038192,595.138675118935,53,EProp,0.01,0.1,0,0.3931744914883056
53,-40.66145918013931,0.2921203385556854,4095.357951869499,592.0912226117528,54,EProp,0.01,0.1,0,0.39283454375483023
54,-40.64449406025529,0.3154700811925961,4095.996414144788,592.2230364458485,55,EProp,0.01,0.1,0,0.39289578627369315
55,-40.60546975162873,0.3564636478849579,4096.193339951369,591.6718055512292,56,EProp,0.01,0.1,0,0.39291467577255773
56,-40.6715673110245,0.3315118726697825,4100.307918369428,594.4411078999583,57,EProp,0.01,0.1,0,0.39330935398007894
57,-40.64689338137188,0.3487852880566784,4099.567866942856,593.6286121597957,58,EProp,0.01,0.1,0,0.3932383668361152
58,-40.64140462293189,0.3312556720573845,4097.266029498927,590.8364986789791,59,EProp,0.01,0.1,0,0.39301757019935946
59,-40.63084149739334,0.3534288697334777,4098.427036712682,591.4618183403118,60,EProp,0.01,0.1,0,0.39312893622510653
60,-40.616356045045386,0.3857657954551712,4100.212184050056,592.5830156399,61,EProp,0.01,0.1,0,0.39330017096161896
61,-40.660447154015294,0.373161223563367,4103.360837757866,594.8846626288123,62,EProp,0.01,0.1,0,0.3936021958291119
62,-40.58906009478441,0.4281827052037732,4101.724279998818,593.2450857808735,63,EProp,0.01,0.1,0,0.3934452140882825
63,-40.74422229270131,0.3032358349506472,4104.745812765195,595.0339741612931,64,EProp,0.01,0.1,0,0.3937350452726795
64,-40.59812087714784,0.4195381307566714,4101.765900790451,593.6183498551227,65,EProp,0.01,0.1,0,0.3934492064339783
65,-40.63973860970385,0.3750248793980848,4101.476348910193,592.2187621608638,66,EProp,0.01,0.1,0,0.3934214320655076
66,-40.59222090693091,0.4336160432715719,4102.583695020248,593.0444175415314,67,EProp,0.01,0.1,0,0.39352765081586705
67,-40.64118898641564,0.39409874259024,4103.528772900588,592.917103066791,68,EProp,0.01,0.1,0,0.3936183044882198
68,-40.741595722257,0.3159795374801195,4105.757525973712,595.0245385320842,69,EProp,0.01,0.1,0,0.393832090732771
69,-40.66843953772902,0.3605729274278788,4102.90124651569,593.7897028422375,70,EProp,0.01,0.1,0,0.3935581109608157
70,-40.6117765222486,0.429258740518232,4104.103526276683,595.1903337408264,71,EProp,0.01,0.1,0,0.3936734359279922
71,-40.65552414094166,0.3886583007055195,4104.418244164718,594.706638968308,72,EProp,0.01,0.1,0,0.3937036242679153
72,-40.60249118828079,0.4453181479317338,4104.780933621252,595.1050581048286,73,EProp,0.01,0.1,0,0.39373841413216076
73,-40.569037010038834,0.4725130724627111,4104.155008250154,593.5966710906682,74,EProp,0.01,0.1,0,0.3936783741770532
74,-40.63668748197065,0.4512928920532504,4108.79803740239,596.8684119226773,75,EProp,0.01,0.1,0,0.3941237423866443
75,-40.64650364940047,0.4242455744617945,4107.074922386227,595.0779249708432,76,EProp,0.01,0.1,0,0.3939584579086654
76,-40.601792369676886,0.4385927434641692,4104.038511314106,592.1502665457112,77,EProp,0.01,0.1,0,0.3936671995688115
77,-40.60960006172227,0.4235032973147459,4103.310335903701,590.7486532266762,78,EProp,0.01,0.1,0,0.3935973515949637
78,-40.65561884542158,0.4407374149625696,4109.635626038415,596.6027084146597,79,EProp,0.01,0.1,0,0.39420408548572233
79,-40.60087671211478,0.4456703014164334,4104.654701353122,591.9913699160057,80,EProp,0.01,0.1,0,0.39372630569230255
80,-40.62104715645893,0.4627956326153906,4108.384278907432,595.1093493149542,81,EProp,0.01,0.1,0,0.394084053882855
