patch_id,rule,D_Patch,D_Global,rank
0_0,EProp,1.134978033782888,2.726134273982271,1.0
0_0,Oja,3.205686061462399,2.2709367844962998,3.0
0_0,REINFORCE,3.298269107298037,2.139759629539633,4.0
0_0,RewardHebb,1.381561212783999,2.810800636354075,2.0
0_1,EProp,1.2396734701487253,2.664536771292731,1.0
0_1,Oja,3.2376505524102144,1.8735274798421944,3.0
0_1,REINFORCE,3.3557026719989524,1.5626399930521924,4.0
0_1,RewardHebb,1.6690643380703118,2.8144595432568447,2.0
0_2,EProp,1.4229955275094306,2.370295153087923,1.0
0_2,Oja,3.534346458597578,2.3246381608347844,3.0
0_2,REINFORCE,3.563789801105361,1.9194763373084287,4.0
0_2,RewardHebb,1.7262070591637462,2.41509673234288,2.0
0_3,EProp,1.397502641847945,2.3632554639042915,1.0
0_3,Oja,3.869678677465535,2.29439650736186,3.0
0_3,REINFORCE,3.9014650342884254,2.0119083905851167,4.0
0_3,RewardHebb,1.8344343171861952,2.560747960141395,2.0
0_4,EProp,1.6732347171408986,3.1874287045938656,1.0
0_4,Oja,3.03820555340283,1.9975460203790656,3.0
0_4,REINFORCE,3.057905421723197,1.6409816320998252,4.0
0_4,RewardHebb,1.7148553323644686,3.063856087440093,2.0
0_5,EProp,1.4797606433111867,2.8265218992718326,1.0
0_5,Oja,2.2794731236005457,2.4236576073218385,3.0
0_5,REINFORCE,3.03377200368245,2.3096843565326,4.0
0_5,RewardHebb,1.5043784682429269,2.9233335499676314,2.0
0_6,EProp,1.0679377559870775,2.55597664277546,1.0
0_6,Oja,3.6837168617309617,2.1088457773532343,4.0
0_6,REINFORCE,3.6500279512299856,1.9563374130571791,3.0
0_6,RewardHebb,1.479858278680173,2.630622514664225,2.0
0_7,EProp,1.574162163515112,2.631503056186121,1.0
0_7,Oja,3.3628230858855708,2.4244157772834645,4.0
0_7,REINFORCE,3.153904047301873,2.1638581000987145,3.0
0_7,RewardHebb,1.8851249149026048,2.805104254009498,2.0
0_8,EProp,1.3418290527893617,2.092674089727668,1.0
0_8,Oja,4.02283515525062,1.7347057015007004,4.0
0_8,REINFORCE,3.672643977283061,1.338463628473229,3.0
0_8,RewardHebb,1.7210963169060485,1.996051309956502,2.0
0_9,EProp,1.2250778458787424,2.2927409517129944,1.0
0_9,Oja,2.229301454286889,1.983955036670206,3.0
0_9,REINFORCE,2.628094700008472,1.8927378414601657,4.0
0_9,RewardHebb,1.2534408127600327,2.32925823867806,2.0
1_0,EProp,1.4641431619318537,2.399589277095316,2.0
1_0,Oja,2.338385251153583,2.3265660821964587,3.0
1_0,REINFORCE,2.535021797619108,2.218878321766223,4.0
1_0,RewardHebb,1.4493584394048251,2.509223321567284,1.0
1_1,EProp,1.950501437164088,3.684066430095591,1.0
1_1,Oja,3.501993515827482,1.8351939605602372,4.0
1_1,REINFORCE,3.179153203356838,1.459921928925349,3.0
1_1,RewardHebb,2.0285778133462378,3.574279174065662,2.0
1_2,EProp,1.4648477368882196,3.4160611081199184,1.0
1_2,Oja,4.410569531925299,2.0947620488033127,4.0
1_2,REINFORCE,4.115314436300148,1.8024709795438736,3.0
1_2,RewardHebb,1.805472327797757,3.3191686991894342,2.0
1_3,EProp,1.1171277629579008,2.5688678544437606,1.0
1_3,Oja,4.331588148406411,1.8139735108150403,4.0
1_3,REINFORCE,3.954293732689583,1.350681697977651,3.0
1_3,RewardHebb,1.6647693342233412,2.5223097914100627,2.0
1_4,EProp,1.9468857181029056,2.8454855309100315,1.0
1_4,Oja,2.323285638080712,1.932058096424352,4.0
1_4,REINFORCE,2.2280580154033807,1.4666803803881645,3.0
1_4,RewardHebb,2.0257784645481216,2.869859869981154,2.0
1_5,EProp,1.0061300012732457,2.509085458308814,1.0
1_5,Oja,3.4152920988354607,2.471106244200954,4.0
1_5,REINFORCE,3.1401948164241,2.2055429903815416,3.0
1_5,RewardHebb,1.291500086382266,2.5781997523992426,2.0
1_6,EProp,1.688547574022933,3.494563319682244,1.0
1_6,Oja,3.872538585373419,2.0512828539584445,4.0
1_6,REINFORCE,3.872187264158006,1.4803768576476126,3.0
1_6,RewardHebb,2.0969643122907167,3.55072149535697,2.0
1_7,EProp,1.0421539380375056,2.827318982783417,1.0
1_7,Oja,3.555485984878473,1.8086615429483293,3.0
1_7,REINFORCE,3.898504000062035,1.8855822285738304,4.0
1_7,RewardHebb,1.4027519595071474,2.7118594735216,2.0
1_8,EProp,1.1886170299681422,2.5480008407462678,1.0
1_8,Oja,3.74702737514867,2.075656575120944,4.0
1_8,REINFORCE,3.697454596411669,1.756390641602846,3.0
1_8,RewardHebb,1.6638698210116074,2.6383521575126405,2.0
1_9,EProp,1.5412447927293798,3.8165451518112015,1.0
1_9,Oja,3.0605449892304124,1.5227430287965078,3.0
1_9,REINFORCE,3.3746029030450235,0.944257674083283,4.0
1_9,RewardHebb,1.7373316634701277,3.609134182210198,2.0
2_0,EProp,1.2799101069208008,2.1092265460223323,1.0
2_0,Oja,3.5364131592107886,2.29508714335161,4.0
2_0,REINFORCE,3.477506160387641,1.9740571856387423,3.0
2_0,RewardHebb,1.6828313494439278,2.3490799315215614,2.0
2_1,EProp,1.773415147927505,3.4364703637751126,1.0
2_1,Oja,3.048277554557503,2.3636188493170374,3.0
2_1,REINFORCE,3.327207858785065,2.079730419890556,4.0
2_1,RewardHebb,1.8436206453691704,3.416661559033183,2.0
2_2,EProp,1.2728246200211102,2.394661931105597,2.0
2_2,Oja,2.484291335355852,1.7948537237605957,3.0
2_2,REINFORCE,2.7299566849939083,1.817241644058269,4.0
2_2,RewardHebb,1.2482391640734865,2.3172919920417843,1.0
2_3,EProp,1.5305976408083053,2.6087648710677294,1.0
2_3,Oja,2.926748315488068,2.500008133799366,3.0
2_3,REINFORCE,2.993502418344433,2.29975921935148,4.0
2_3,RewardHebb,1.7620088742263995,2.7932661836935844,2.0
2_4,EProp,1.265668728399414,2.739496626720991,1.0
2_4,Oja,4.507544310702339,2.001169856655922,4.0
2_4,REINFORCE,4.219083202204741,1.760626463194774,3.0
2_4,RewardHebb,1.785508963407504,2.722864983883763,2.0
2_5,EProp,1.05265414302309,2.8236423617611788,1.0
2_5,Oja,3.797588422923928,2.037381538592215,4.0
2_5,REINFORCE,3.628608113083701,1.8217648831179296,3.0
2_5,RewardHebb,1.3353039204139352,2.6987467183271767,2.0
2_6,EProp,1.495055082383329,3.2943684403985305,1.0
2_6,Oja,3.2174625227461378,2.1033986004040988,3.0
2_6,REINFORCE,3.4290464421727336,1.177391832528473,4.0
2_6,RewardHebb,1.8895418469215364,3.368601390968782,2.0
2_7,EProp,1.5408811372896136,2.9670984069372293,1.0
2_7,Oja,3.929980963968625,2.202965565891869,4.0
2_7,REINFORCE,3.889961617941856,1.7234201266257712,3.0
2_7,RewardHebb,1.9397106734463727,2.953752756904655,2.0
2_8,EProp,1.6509992946463945,3.2169250565697647,1.0
2_8,Oja,4.079207545673351,1.7557304633197677,4.0
2_8,REINFORCE,3.994989401031551,1.394900808368508,3.0
2_8,RewardHebb,2.120529014723544,3.2918788347438066,2.0
2_9,EProp,1.4103681245341346,2.831755676112724,1.0
2_9,Oja,3.5738571692322574,1.559836344951507,4.0
2_9,REINFORCE,3.402479100580798,1.2883542983360556,3.0
2_9,RewardHebb,1.7383041290313994,2.738184053207476,2.0
