epoch,rule,seed,J,MI_lb,E_total,total_forwards,patch_idx
0,EProp,42,-70.09719880674427,0.0,7009.719880674427,1,0
1,EProp,42,-38.879798447171154,0.0,3887.9798447171156,2,0
2,EProp,42,-24.557643266239843,0.04730410248277872,2460.4947368722624,3,0
3,EProp,42,-19.278356512520276,0.008359518927410381,1928.6716031447684,4,0
4,EProp,42,-16.61524878878252,0.0211059708809076,1663.6354759663427,5,0
5,EProp,42,-15.044073812612861,0.043968853789958295,1508.804266640282,6,0
6,EProp,42,-14.20682034993683,0.05204860204650119,1425.8868951983331,7,0
7,EProp,42,-13.903917725762836,0.08201426146311164,1398.5931987225947,8,0
8,EProp,42,-13.564813276406639,0.05883446031632911,1362.3647736722967,9,0
9,EProp,42,-13.46147489125301,0.07051855548898045,1353.199344674199,10,0
10,EProp,42,-13.390665581979327,0.11200942391005064,1350.2675005889378,11,0
11,EProp,42,-13.308672416481947,0.09550137278927551,1340.4173789271222,12,0
12,EProp,42,-13.349376670724448,0.13288498588604902,1348.2261656610497,13,0
13,EProp,42,-13.28366233770601,0.14268190322291785,1342.634424092893,14,0
14,EProp,42,-13.249343853822591,0.10238871567445607,1335.1732569497046,15,0
15,EProp,42,-13.26556547334144,0.06067972423094892,1332.6245197572389,16,0
16,EProp,42,-13.308594215360644,0.13593488442717927,1344.4529099787824,17,0
17,EProp,42,-13.254627698577334,0.12286900302597825,1337.749670160331,18,0
18,EProp,42,-13.331453355428836,0.1815306571493185,1351.2984012578154,19,0
19,EProp,42,-13.234483120057611,0.17454484682137394,1340.9027966878984,20,0
20,EProp,42,-13.296880634720882,0.2124056858326897,1350.928632055357,21,0
21,EProp,42,-13.297352009986234,0.16403772232190938,1346.1389732308144,22,0
22,EProp,42,-13.268254578813245,0.1478312277934326,1341.6085806606677,23,0
23,EProp,42,-13.355925654807727,0.2265454115750538,1358.2471066382782,24,0
24,EProp,42,-13.234560592223126,0.17309144363215356,1340.765203585528,25,0
25,EProp,42,-13.231752409286045,0.1324198449020697,1336.4172254188113,26,0
26,EProp,42,-13.275048866792398,0.20935476919222262,1348.440363598462,27,0
27,EProp,42,-13.259029745952414,0.2093986341218943,1346.8428380074308,28,0
28,EProp,42,-13.290871527706617,0.21967981417915983,1351.0551341885778,29,0
29,EProp,42,-13.262108433394186,0.26257361967741577,1352.4682053071601,30,0
30,EProp,42,-13.209299572086174,0.20962201038115058,1341.8921582467324,31,0
31,EProp,42,-13.311824908002645,0.17651597353198856,1348.8340881534632,32,0
32,EProp,42,-13.314946822842645,0.23353386549038513,1354.848068833303,33,0
33,EProp,42,-13.24214476007145,0.24532284457569364,1348.7467604647143,34,0
34,EProp,42,-13.254078943359243,0.2586493633042126,1351.2728306663455,35,0
35,EProp,42,-13.318370449898424,0.28455854097823785,1360.2928990876662,36,0
36,EProp,42,-13.217760333524621,0.23482123989550496,1345.2581573420125,37,0
37,EProp,42,-13.23902641993613,0.287311363231185,1352.6337783167314,38,0
38,EProp,42,-13.220885835499189,0.2621920499082466,1348.3077885407436,39,0
39,EProp,42,-13.265651827277093,0.2817047692641683,1354.735659654126,40,0
40,EProp,42,-13.264083929850749,0.30147481420759137,1356.555874405834,41,0
41,EProp,42,-13.255268678010482,0.3178632608999159,1357.3131938910399,42,0
42,EProp,42,-13.24387555836188,0.3644890631635036,1360.8364621525384,43,0
43,EProp,42,-13.252006761212385,0.31952031161217853,1357.1527072824563,44,0
44,EProp,42,-13.294727599302716,0.3380747868898233,1363.2802386192539,45,0
45,EProp,42,-13.182913259486924,0.30462210327075523,1348.7535362757678,46,0
46,EProp,42,-13.306631896816434,0.34400208404420596,1365.063398086064,47,0
47,EProp,42,-13.235638266917265,0.34979492273951784,1358.5433189656783,48,0
48,EProp,42,-13.20837706007288,0.3340527568168268,1354.2429816889705,49,0
49,EProp,42,-13.25121190831145,0.3599490208512526,1361.1160929162702,50,0
50,EProp,42,-13.234267556096187,0.34952845081499717,1358.3796006911184,51,0
