pre_type,post_type,weight_sum
C2,C3,0.14596814963700833
C2,Dm11,0.05096364565790768
C2,Dm9,0.12535578536331923
C2,L1,0.746302553163767
C2,L2,0.6254598954616218
C2,L4,0.24246077598960533
C2,L5,0.4342279351668955
C2,MeLo2,3.249524911206511e-05
C2,Mi1,0.306964563559697
C2,Mi14,0.025605008802959257
C2,Mi2,0.054365297601927945
C2,Mi4,0.13990831820316668
C2,Mi9,0.11363222664872497
C2,Pm5,0.021008003841439964
C2,R7y,0.09323420933313042
C2,R8y,0.09241256541177612
C2,T1,0.6586324979874367
C2,T2,0.037613038450434795
C2,Tm1,0.42667461874486073
C2,Tm16,0.00886994405170242
C2,Tm20,0.16550825054253288
C2,Tm3,0.03856642411975237
C2,Tm5c,0.062404722025579756
C2,Tm6,0.029315665795175968
C2,Tm9,0.4931813513193826
C2,TmY3,3.413018971388754e-05
C3,C2,0.30671790777662916
C3,C3,0.11199873698202034
C3,Cm13,0.05611451856169235
C3,Dm3a,0.17598057833978586
C3,Dm3b,0.5111013175753759
C3,Dm4,0.051873201073266685
C3,Dm9,0.3017981289804481
C3,L1,1.5023686607596132
C3,L2,2.4001336307419723
C3,L3,0.09065584586215157
C3,L4,0.23184603512001373
C3,L5,1.298984701111232
C3,MeLo2,0.2739793048892527
C3,Mi1,0.7965772162026105
C3,Mi10,0.040567975809750724
C3,Mi14,0.10696970009368859
C3,Mi4,0.07229075224247739
C3,Mi9,2.0638488239485597
C3,Pm10,0.0659683662015272
C3,Pm2a,8.553816923391435e-05
C3,Pm2b,5.3069487942967e-05
C3,Pm3,0.035025757531121506
C3,Pm5,0.04371398297550899
C3,T1,1.9389513119849409
C3,T2,0.33332030879421437
C3,T2a,0.11938004663180665
C3,T3,0.049326804829434294
C3,T4a,1.1889403993009462
C3,T4b,1.4610831328332212
C3,T4c,1.612414292896287
C3,T4d,1.1385761703106592
C3,Tm1,1.2769231046303733
C3,Tm16,0.05910591831787744
C3,Tm2,0.6454672116320673
C3,Tm20,0.5941868240862569
C3,Tm26,0.01887026243210622
C3,Tm3,0.2131403958883465
C3,Tm4,1.4650445100213896
C3,Tm5c,0.2846982801036273
C3,Tm6,0.3288853902768324
C3,Tm9,1.3698503748552089
C3,TmY14,0.0001071648873405483
C3,TmY3,0.001882351817543295
C3,TmY5a,9.70504210967069e-05
C3,Y12,0.00016755728611128387
C3,Y3,8.209582910562898e-05
Cm1,Cm1,0.11959807756585242
Cm1,Cm11a,0.05269089739762217
Cm1,Cm13,0.049350187937106965
Cm1,Cm19,7.115747483868692e-05
Cm1,Cm2,0.1827473470412354
Cm1,Cm3,0.06193897092290199
Cm1,Cm5,0.05557169402110698
Cm1,Dm8a,0.04557637570312343
Cm1,MeLo4,0.040369914237777936
Cm1,MeLo8,5.269499194131979e-05
Cm1,MeTu1,0.03515918894991646
Cm1,MeVP3,3.172139800534657e-05
Cm1,MeVP6,0.039766114153425625
Cm1,Mi1,0.15119933607679295
Cm1,Mi2,0.05385457750254289
Cm1,Mi4,0.032806362184552525
Cm1,Pm4,6.562238396720085e-05
Cm1,Tm12,0.07045320522704956
Cm1,Tm2,0.06749343261100758
Cm1,Tm20,0.0501416736392181
Cm1,Tm29,0.11818046530417595
Cm1,Tm30,0.06070501759395005
Cm1,Tm31,0.04950313123040789
Cm1,Tm33,0.1347399115283675
Cm1,Tm38,3.277056778985831e-05
Cm1,Tm39,5.112079146602152e-05
Cm1,Tm40,0.018231163096955987
Cm1,Tm5a,0.01152711686557075
Cm1,Tm9,0.0704709396912456
Cm1,TmY10,6.950515850068436e-05
Cm1,TmY17,3.346637117033388e-05
Cm1,TmY5a,6.929987368949769e-05
Cm10,Cm15,0.030046331215249918
Cm10,Cm19,0.00010188708904488261
Cm10,Cm26,6.540100567342845e-05
Cm10,Cm5,0.33912365491304186
Cm10,Cm6,0.11376170591139231
Cm10,Cm7,0.06797634660428017
Cm10,Cm8,0.05883117905361026
Cm10,Dm8a,0.05321364891879226
Cm10,MeLo4,0.03656733427231675
Cm10,MeTu3c,0.12171114116070386
Cm10,MeTu4f,0.058001423331121994
Cm10,Tm16,5.7433250971021834e-05
Cm10,Tm33,0.06997752460007284
Cm10,Tm37,0.037315251696495084
Cm10,Tm39,0.05689528543489821
Cm10,Tm9,0.07982391058709604
Cm10,TmY17,0.000201913482693387
Cm10,TmY21,7.087123647503239e-05
Cm11a,Cm1,0.07046144272225094
Cm11a,Cm19,7.24989280147844e-05
Cm11a,Cm26,8.144161694808262e-05
Cm11a,Cm3,0.057573062651712775
Cm11a,Cm5,0.20288973020434126
Cm11a,Cm7,0.04978492969671405
Cm11a,Dm11,0.2828340303691398
Cm11a,Dm2,0.05833328273567272
Cm11a,Dm4,0.05957202878899758
Cm11a,Dm8a,0.5846502682469474
Cm11a,Dm8b,1.1402334425266238
Cm11a,Dm9,0.05804602037138323
Cm11a,MeLo3a,0.03087768857341435
Cm11a,MeVP1,0.04401085609013558
Cm11a,MeVP6,0.014861133186955904
Cm11a,Mi4,0.3437535355859453
Cm11a,Tm12,0.014421887963907002
Cm11a,Tm26,0.00019397419531821676
Cm11a,Tm29,0.17162412062089152
Cm11a,Tm30,0.033247682687314074
Cm11a,Tm33,0.14522092699432437
Cm11a,Tm37,0.00023459197945614952
Cm11a,Tm39,0.043372921439409996
Cm11a,Tm5Y,0.03651929075271032
Cm11a,Tm5a,0.01656058853051462
Cm11a,Tm5b,0.12807418870475823
Cm11a,Tm5c,0.037460668835058254
Cm11a,TmY14,0.00011545046185396364
Cm11a,TmY18,0.050574060108618535
Cm11a,TmY5a,3.781229766112656e-05
Cm11b,Dm11,0.04433345245153189
Cm11b,Dm8a,0.2150948288373004
Cm11b,Dm8b,0.495141991099138
Cm11b,Tm5a,0.02628752309164903
Cm11c,Cm5,0.04296158347356106
Cm11c,Cm7,0.00935022418215205
Cm11c,Dm11,0.15342224986812894
Cm11c,Dm4,0.0523082602157291
Cm11c,Dm8a,0.19636359016270044
Cm11c,Dm8b,0.3290742161071222
Cm11c,Tm5b,0.011157031735705834
Cm11c,Tm5c,0.013575239981831652
Cm11c,TmY18,0.04998437112011528
Cm13,Cm19,3.6521174930977484e-05
Cm13,Cm9,0.013713108810596503
Cm13,MeTu3c,0.05878577110545621
Cm13,MeVP1,0.04692343612131578
Cm13,Pm4,0.00016334831343541907
Cm13,T2a,0.10550340501951647
Cm13,Tm20,1.424610296863978
Cm13,Tm26,7.986272627469261e-05
Cm13,Tm32,0.0001741567450392152
Cm13,Tm33,0.027676999810899078
Cm13,Tm39,0.013125067296668798
Cm13,Tm40,0.03905748848630211
Cm13,Tm5Y,3.067679591725059e-05
Cm13,Tm5b,0.011948649847855418
Cm13,TmY10,0.04457212036408673
Cm15,Cm1,0.06576302988463552
