patch_idx,rule,Ew_norm,Rho,ShortShare,reciprocal_fraction,201_z,120U_z,300_z,021C_z
0,BioInit,0.5546335182760932,-0.12765417789610148,0.59336777884811,0.1478809738503156,12.848224205178093,26.039137442675884,38.08301182251326,-17.753923404761288
1,BioInit,0.5350204825420893,-0.14602407959793143,0.5816482683821804,0.1418975650713686,11.485691548004045,19.659751971814234,30.40884204336964,-9.53533674705093
2,BioInit,0.5931834018780071,-0.12496824318145072,0.5647191919191829,0.14030819140308193,10.459938949400913,24.79909669435812,21.4008477058242,-18.09241958606661
3,BioInit,0.6071137576753218,-0.1308500265430753,0.5601536306253749,0.13743093922651933,13.034681147667527,12.096298048869876,20.528579749240986,-12.631015973089681
4,BioInit,0.5816223030836696,-0.13416351767973714,0.5596369406104352,0.13444709626093873,9.420535269449937,28.308637223318282,14.256902162084836,-11.790757779946537
