pre_type,post_type,weight_sum
AOTU045,MeLo13,0.023447635032581418
C2,C3,0.07084997907002805
C2,Dm11,0.07128361196407564
C2,Dm14,0.05267026094154001
C2,Dm20,0.010578664077065767
C2,Dm9,0.11535952396444421
C2,L1,0.17953688072496782
C2,L2,0.26072634350846247
C2,L3,0.09212097489040658
C2,L5,0.23847246215519435
C2,Mi1,0.09643760881036399
C2,Mi15,0.14416738557849096
C2,Mi4,0.1116054640768751
C2,Mi9,0.03724981269697847
C2,T1,0.1701393310652669
C2,T2,0.007977991080355016
C2,Tm1,0.10785107477648515
C2,Tm16,9.034164093465997e-05
C2,Tm3,0.047310266754633325
C2,Tm37,0.011549463526189335
C2,Tm6,0.04002907302216596
C2,Tm9,0.2540429280555381
C2,TmY5a,0.0010551444107437223
C3,C2,0.06406386933592718
C3,C3,0.06282451840152786
C3,Dm11,0.07194130940513888
C3,Dm14,0.0650032462669226
C3,Dm15,0.19007442686441717
C3,Dm20,0.01736268962218451
C3,Dm3a,0.0460620331864341
C3,Dm3b,0.214109149933671
C3,Dm3c,0.06294040493716561
C3,Dm4,0.1283419026665956
C3,Dm6,0.03546686534590806
C3,Dm9,0.3063882820098633
C3,L1,0.8950201926294538
C3,L2,1.7362492645147252
C3,L4,0.08710008461459869
C3,L5,0.7987014765622985
C3,Lawf1,0.03705568093066341
C3,MeLo1,0.06770511565837066
C3,MeLo9,0.018016162934128725
C3,Mi1,0.6240143825528608
C3,Mi4,0.20072158484047237
C3,Mi9,1.5722571282880793
C3,Pm10,0.10630623969484233
C3,Pm2a,0.04313624189787366
C3,Pm2b,0.02608994607642353
C3,Pm4,0.06277952338818496
C3,T1,1.4686278546272764
C3,T2,0.5523494832029561
C3,T4a,1.2803247736406678
C3,T4b,0.8451467463852663
C3,T4c,1.23980874535603
C3,T4d,1.7987558469615323
C3,Tm1,1.3799731264719248
C3,Tm16,0.1268644545056275
C3,Tm2,0.5285372578967069
C3,Tm20,0.5386105197653424
C3,Tm3,0.06799996737028842
C3,Tm4,1.4856659646721566
C3,Tm6,0.6059793074878312
C3,Tm9,1.2208426006836148
C3,TmY14,0.028290822585975442
C3,TmY5a,0.0001845540015469817
C3,Y3,0.02436527954126113
Cm1,Cm1,0.10375695577249436
Cm1,Cm11a,0.13083779088968175
Cm1,Cm11b,0.048914618997272945
Cm1,Cm19,0.031152777825410954
Cm1,Cm2,0.1388914353988807
Cm1,Cm3,0.28368809445995313
Cm1,Cm5,0.020032938179178002
Cm1,Cm8,0.1307456493700745
Cm1,Dm11,0.07905170375423339
Cm1,Dm2,0.053035520355666
Cm1,Dm8a,0.476439082478023
Cm1,Dm8b,0.07313723922087573
Cm1,ME_LOP_unclear,0.09623480075061629
Cm1,MeTu3b,0.0437880698849921
Cm1,MeTu4a,0.1892373332367088
Cm1,MeVP1,0.0550921866562854
Cm1,MeVP6,0.29192414774080355
Cm1,Mi16,0.17236841203148312
Cm1,Mi17,0.03908088354691939
Cm1,Mi4,0.040845051333580254
Cm1,Tm1,0.06501427185145123
Cm1,Tm29,0.0531280221788978
Cm1,Tm30,0.08499599299972524
Cm1,Tm33,0.28521462679856974
Cm1,Tm37,0.009938853036463803
Cm1,Tm39,0.02493652277802643
Cm1,Tm40,0.050599275695791354
Cm1,Tm5Y,0.03168989436707866
Cm1,Tm5a,0.03917924714650683
Cm1,TmY17,0.007862253744301759
Cm1,TmY21,0.1417571650454757
Cm10,Cm11a,0.04117722965757737
Cm10,Cm19,0.05873554088898984
Cm10,Cm4,0.0635223353450971
Cm10,Cm5,0.04672387832013486
Cm10,Cm6,0.08683059430906805
Cm10,Cm8,0.4353114465858757
Cm10,Dm20,0.06673503625131477
Cm10,Dm8b,0.05935565317572633
Cm10,MeTu3b,0.0456818420595036
Cm10,MeTu3c,0.11367459440211872
Cm10,MeTu4a,0.0335083151327851
Cm10,Tm1,0.06071969845304948
Cm10,Tm16,0.06411032726026838
Cm10,Tm36,0.06180398326103041
Cm10,Tm37,0.06333534890078307
Cm10,Tm39,0.04948472827129641
Cm10,TmY4,0.005622355631145118
Cm10,TmY5a,0.013476194128540436
Cm11a,C3,0.08797252419849592
Cm11a,Cm1,0.17270868028675224
Cm11a,Cm11b,0.03156464656883516
Cm11a,Cm19,0.033132815647153716
Cm11a,Cm9,0.06243978029996353
Cm11a,Dm11,0.7284574030662287
Cm11a,Dm4,0.2000065045670337
Cm11a,Dm8a,2.202642846724027
Cm11a,Dm8b,1.6199911394416964
Cm11a,Dm9,0.38711896539603824
Cm11a,ME_LOP_unclear,0.0368792078662821
Cm11a,MeTu1,0.044750506298386394
Cm11a,MeTu3b,0.05206224352845972
Cm11a,MeTu4a,0.03071606827171553
Cm11a,MeVP6,0.13142257263922089
Cm11a,Mi1,0.0446256769560072
Cm11a,Mi18,0.01827373372973721
Cm11a,Mi4,0.6530272578603908
Cm11a,Tm12,0.02132415775401985
Cm11a,Tm30,0.020033421241190317
Cm11a,Tm33,0.2846601490422233
Cm11a,Tm37,0.2962175439095948
Cm11a,Tm39,0.049619598337696566
Cm11a,Tm40,0.06037060569182491
Cm11a,Tm5a,0.36380651513021733
Cm11a,Tm5b,0.26882933498683736
Cm11a,TmY18,0.13633894457412588
Cm11b,Cm11a,0.06938991305553122
Cm11b,Cm7,0.04190871939236537
Cm11b,Dm11,0.23408355519431323
Cm11b,Dm8a,0.701154583794601
Cm11b,Dm8b,0.502303911677629
Cm11b,Mi1,0.046959383948579576
Cm11b,Mi18,8.994688190681438e-05
Cm11b,Tm5a,0.29803211490991666
Cm11b,Tm5b,0.14571683397197582
Cm12,Cm10,0.08741316648631824
Cm12,Cm4,0.05913353640958723
Cm12,Cm5,0.036424990542314024
Cm12,Cm6,0.03600553697452798
Cm12,MeTu1,0.24501428120519386
Cm12,MeTu3c,0.06392045388816067
Cm12,MeTu4a,0.04771170306851438
Cm12,MeVP1,0.052630302922054215
Cm12,MeVP6,0.22479296435908733
Cm12,MeVPMe5,0.06947725357442801
Cm13,Cm11a,0.05610752380678849
Cm13,Cm19,0.0090717624808231
Cm13,Cm3,0.13926961725269985
Cm13,MeVP1,0.054344835014909366
Cm13,MeVP6,0.0831043700227699
Cm13,Pm4,0.025574701070997425
Cm13,T2a,0.03717264103846868
Cm13,Tm20,0.7984435787202615
Cm13,Tm31,0.04499068615071885
Cm13,Tm33,0.07124142126447389
Cm13,Tm35,0.13594245868915875
Cm13,Tm39,0.03475202747500501
Cm13,TmY10,0.12622664332117398
Cm14,Cm1,0.055767111866789267
Cm14,Cm10,0.4522610305858879
Cm14,Cm14,0.5182143558601575
Cm14,Cm20,0.3205131645117789
Cm14,Cm3,0.15540048002879225
Cm14,Cm4,0.051367311431740656
Cm14,Cm6,0.3443107548595901
Cm14,Cm8,0.08121989487079817
Cm14,Cm9,0.05934832578433402
Cm14,MeTu1,0.25146016689226613
Cm14,MeTu2b,0.07367845586445444
Cm14,MeTu3b,0.5572020405677542
Cm14,MeTu3c,0.42780099765669466
Cm14,MeVP1,0.11650473362572826
Cm14,MeVPMe5,0.06704119904865993
Cm14,Mi15,0.05483127425957878
Cm14,Tm36,0.015563929465581508
Cm14,Tm5Y,0.051773576170354114
Cm14,TmY4,0.010032741633099381
Cm14,TmY5a,0.01360405088885847
Cm16,Cm10,0.06897253078771907
Cm16,Cm3,0.05095685518018243
Cm16,Cm6,0.03426102318189772
Cm16,Cm8,0.06820010634296886
Cm16,MeTu3c,0.04976182498306272
