rule,seed,reciprocal_fraction,201_z,120U_z,300_z,021C_z
BioInit,-1,0.30972338642078795,30.33223420359272,8.722515418414867,47.354661850842135,-31.917991399968273
Oja,0,0.2961426793861468,28.16504650955168,7.34446098668401,66.76772091272596,-21.163515348165312
Oja,1,0.2982966348151226,28.155459326541056,5.80490057595785,77.06157266308813,-27.355356484658326
RewardHebb,0,0.13629032258064516,41.70835898596738,13.44829339189848,128.6394462941175,-28.87071504716805
RewardHebb,1,0.16413623307345096,49.20853570719054,17.149190102820544,95.26279441628826,-27.71820520359415
REINFORCE,0,0.31027253668763105,22.376936546949413,10.573541704483363,77.53005410141355,-23.348371580077693
REINFORCE,1,0.3113722198908938,36.089190282566086,5.748137456090906,52.938127723492485,-26.305194489245732
EProp,0,0.1913839115516584,36.90012861607361,22.295415846734212,83.29032258064517,-24.901561521168247
EProp,1,0.2056327160493827,47.13710535657775,15.109366067137016,97.09736142266961,-33.158997841148356
