pre_type,post_type,weight_sum
AN27X013,Cm3,0.0488477028341022
AN27X013,Dm6,0.003409309750274107
AN27X013,Dm9,0.014492210803345635
AN27X013,MeLo5,0.07626237773019134
AN27X013,MeLo6,0.05835403079677562
AN27X013,MeVP12,0.04102599855964848
AN27X013,MeVP15,0.032881806388100523
AN27X013,Mi17,0.06250163787911901
AN27X013,Mi9,0.1009751025186909
AN27X013,Tm5Y,0.059502376732545714
AN27X013,Tm6,0.03835962301483608
AN27X013,TmY3,8.091939527737472e-05
C2,C3,0.4036549445748635
C2,Dm9,0.6022609956377717
C2,L1,1.4262686037884627
C2,L2,1.2840844011030048
C2,L3,0.42526174160683883
C2,L4,0.2459323499684456
C2,L5,1.2120149015415203
C2,Mi1,0.8385322238005744
C2,Mi15,0.787202655885915
C2,Mi4,0.24657805967311358
C2,R7_unclear,0.181438786060766
C2,R7d,0.26095412552714914
C2,R7p,0.08508653532975749
C2,R7y,0.27110000263282164
C2,R8_unclear,0.18502339399803786
C2,R8d,0.09270534345216301
C2,R8p,0.17743137755033306
C2,R8y,0.18023047586952365
C2,T1,1.125607826288506
C2,T2,0.19322040668021742
C2,T4c,0.08544527394521902
C2,Tm1,1.0445024199585415
C2,Tm12,0.03755600917507074
C2,Tm20,0.20718472376206815
C2,Tm3,0.10160155170859918
C2,Tm37,0.012034890396053651
C2,Tm4,0.06972546089985486
C2,Tm6,0.04195445353422585
C2,Tm9,0.606771537593811
C2,TmY5a,0.03977267886075207
C3,C2,0.28239128111472406
C3,C3,0.07739900272278934
C3,Dm11,0.057539600633510754
C3,Dm13,0.09755202178776302
C3,Dm15,0.16275054150876725
C3,Dm16,0.0125325489780828
C3,Dm3a,0.29007832211621176
C3,Dm3b,0.291476067562571
C3,Dm9,0.28119502637398
C3,L1,1.90447393140908
C3,L2,2.7059773118048613
C3,L3,0.354310352716658
C3,L4,0.0826322350574527
C3,L5,1.965964181666985
C3,MeLo13,7.298894750085754e-05
C3,Mi1,0.7952351519395173
C3,Mi4,0.21067358978942213
C3,Mi9,1.9679958060387435
C3,Pm10,0.11382870496646708
C3,Pm4,0.049710616333250114
C3,Pm5,0.02424709735387788
C3,T1,2.4493392167411665
C3,T2,0.942990952807472
C3,T4a,1.858894430712061
C3,T4b,1.977114959876026
C3,T4c,1.3762893547062804
C3,T4d,1.1296322794367204
C3,Tm1,1.6809295773883666
C3,Tm12,0.03045483425213709
C3,Tm16,0.01527592269506252
C3,Tm2,0.6111990703574657
C3,Tm20,0.8208714682730103
C3,Tm3,0.08134416936376268
C3,Tm4,2.1057740655299972
C3,Tm5b,0.040230208459735975
C3,Tm5c,0.0653664264484008
C3,Tm6,0.9931020981325798
C3,Tm9,2.137821945342119
C3,TmY13,0.02102469493192045
C3,TmY14,0.012627730831617983
C3,TmY3,0.00674481831599248
C3,Y13,0.013202884960025495
Cm12,Cm20,0.13674535537847465
Cm12,Cm4,0.11587962354842513
Cm12,Cm5,0.06568919364698636
Cm12,Cm8,0.0405655428296138
Cm12,Dm-DRA1,0.07675516582102222
Cm12,MeTu1,0.5344840743619843
Cm12,MeTu2a,0.07585029928089956
Cm12,MeTu3a,0.14728370339928482
Cm12,MeTu3b,0.08664963137168104
Cm12,MeVP6,0.08473757033870438
Cm12,Tm37,0.022441731436745257
Cm12,Tm4,0.04384363152476407
Cm12,Tm9,0.07722120468435861
Cm12,TmY20,0.048825743261528706
Cm18,Cm4,0.06814635639366355
Cm18,Dm-DRA1,0.14067326511280126
Cm18,MeTu2b,0.070724378731872
Cm18,MeTu3b,0.226675508295869
Cm18,MeVP15,0.1413989272410442
Cm18,Mi15,0.055300657943730624
Cm18,Tm5c,0.10954559674105666
Cm18,TmY10,0.037236319995051864
Cm20,Cm18,0.16148707869240808
Cm20,Cm20,0.0699383886755858
Cm20,Cm22,0.07232870673543108
Cm20,Cm5,0.061477655502167564
Cm20,Cm8,0.16512891594274215
Cm20,Dm-DRA1,0.2679454928425239
Cm20,MeTu1,0.03294308658675533
Cm20,MeTu2a,0.45807462354889217
Cm20,MeTu2b,0.2815153869731304
Cm20,MeTu3b,0.15538389398695415
Cm20,MeTu3c,0.030459109278528154
Cm20,MeVP12,0.04384434861318343
Cm20,MeVP14,0.059408536148735334
Cm20,MeVP15,0.2055144855971845
Cm20,MeVP6,0.025041351796270577
Cm20,Tm5a,0.12381534233803396
Cm20,TmY18,0.06308449872304778
Cm20,aMe5,0.08849166493408511
