rule,reciprocal_fraction_median,reciprocal_fraction_min,reciprocal_fraction_max,201_z_median,120U_z_median,300_z_median,021C_z_median
BioInit,0.30972338642078795,0.30972338642078795,0.30972338642078795,30.33223420359272,8.722515418414867,47.354661850842135,-31.917991399968273
EProp,0.19850831380052056,0.1913839115516584,0.2056327160493827,42.01861698632568,18.702390956935613,90.19384200165739,-29.0302796811583
Oja,0.2972196571006347,0.2961426793861468,0.2982966348151226,28.160252918046368,6.5746807813209305,71.91464678790705,-24.259435916411817
REINFORCE,0.3108223782892624,0.31027253668763105,0.3113722198908938,29.23306341475775,8.160839580287135,65.23409091245301,-24.826783034661712
RewardHebb,0.15021327782704808,0.13629032258064516,0.16413623307345096,45.458447346578964,15.29874174735951,111.95112035520287,-28.2944601253811
