rule,n_patches,motif_dist_median,motif_dist_min,motif_dist_max,D_3z_median,reciprocal_fraction_median,201_z_median,120U_z_median,300_z_median,021C_z_median
EProp,5,3.737656849291331,3.094311537715842,5.443241824787135,1.0998500097001105,0.19965870307167236,19.948686295944725,5.7653307410260375,24.548237592749636,-14.150052093822168
Oja,5,3.8768540376719822,2.998252168035432,5.067353218147225,2.9936609541161996,0.21428571428571427,8.845747500414637,11.379344862051132,10.999726380070479,-7.64129896153262
REINFORCE,5,3.1455478568671786,2.560235716895426,4.7233705924790055,2.888006003536353,0.21212121212121213,8.091921305420062,15.504331989890556,10.906119667521768,-9.317399029200237
RewardHebb,5,3.7300162937212797,3.6035988158862593,4.616028290001585,1.1615097392505316,0.21410146173688735,17.307325036599376,12.286366139153841,24.196794177842,-13.886071268505823
