pre_type,post_type,weight_sum
AN27X013,Cm3,0.03463669070010988
AN27X013,Dm6,8.842478997221003e-05
AN27X013,Dm9,0.0003037368207783984
AN27X013,MeLo5,0.07182245610966267
AN27X013,MeLo6,0.04798381464087226
AN27X013,MeVP12,0.023528437716500022
AN27X013,MeVP15,0.010813708162209912
AN27X013,Mi17,0.05388106553008145
AN27X013,Mi9,0.07508299953702932
AN27X013,Tm5Y,0.0498484541590158
AN27X013,Tm6,0.018790992239653543
AN27X013,TmY3,7.29924147117732e-05
C2,C3,0.3664251454785057
C2,Dm9,0.4518095930088939
C2,L1,1.395942711834953
C2,L2,1.2499792134155001
C2,L3,0.4147174389931825
C2,L4,0.24370042164742622
C2,L5,1.1374613707006014
C2,MeLo9,0.00010835012759640763
C2,Mi1,0.7100710490473647
C2,Mi15,0.7244252164036362
C2,Mi4,0.19761729050993831
C2,R7_unclear,0.1791436883382609
C2,R7d,0.25425819807167144
C2,R7p,0.08294397912173762
C2,R7y,0.26889569269645525
C2,R8_unclear,0.18452878290600638
C2,R8d,0.09246855730301778
C2,R8p,0.17611931755897242
C2,R8y,0.1805506830548157
C2,T1,1.0956886555539418
C2,T2,0.07758058744242903
C2,T4c,0.08317742929397089
C2,Tm1,0.9523548909205881
C2,Tm12,0.027029112296689514
C2,Tm20,0.1992901491407352
C2,Tm3,0.08180208413942242
C2,Tm37,5.910810547305005e-05
C2,Tm4,0.044549636464736114
C2,Tm6,0.022977942373964794
C2,Tm9,0.5717315005796335
C2,TmY5a,0.00032760529449888667
C3,C2,0.26034876621944386
C3,C3,0.07534373584207488
C3,Dm11,0.04899712828187292
C3,Dm13,0.0006298313647391864
C3,Dm15,0.1583409309749778
C3,Dm16,5.972996225122667e-05
C3,Dm3a,0.25995876143798585
C3,Dm3b,0.24408346581917875
C3,Dm9,0.19791555757746593
C3,L1,1.8586208325204474
C3,L2,2.6240235700756087
C3,L3,0.3497579176395929
C3,L4,0.081731830852815
C3,L5,1.8419968629542431
C3,MeLo13,0.0001789125350316043
C3,MeLo9,0.0012295505128846911
C3,Mi1,0.6476217549493634
C3,Mi4,0.15273933291659908
C3,Mi9,1.7419853998796393
C3,Pm10,0.000994775533073035
C3,Pm4,0.01716634653447341
C3,Pm5,0.00013511315740637197
C3,T1,2.3665116658121135
C3,T2,0.33340625512953886
C3,T4a,1.5465077885746294
C3,T4b,1.6609215806599171
C3,T4c,1.1524268501186976
C3,T4d,0.8707295995786329
C3,Tm1,1.5344680720710886
C3,Tm12,0.008934051593691983
C3,Tm16,5.641155277703112e-05
C3,Tm2,0.5780024114070863
C3,Tm20,0.7203226699712556
C3,Tm3,0.04468872455585052
C3,Tm4,1.088663958419571
C3,Tm5b,0.027283367616434195
C3,Tm5c,0.057376024079934515
C3,Tm6,0.39257951570480626
C3,Tm9,2.012144599341505
C3,TmY13,0.0008969489174133232
C3,TmY14,5.9792048031626026e-05
C3,TmY19a,0.00029713265027215126
C3,TmY3,6.276531030217816e-05
C3,Y13,6.33360481086371e-05
Cm12,Cm20,0.12841554537577868
Cm12,Cm4,0.09530680158775526
Cm12,Cm5,0.030612298789282663
Cm12,Cm8,0.02871783217763329
Cm12,Dm-DRA1,0.07288303907351366
Cm12,MeTu1,0.36090431070166584
Cm12,MeTu2a,0.07186146008014486
Cm12,MeTu3a,0.1415963424779806
Cm12,MeTu3b,0.018161457514704223
Cm12,MeVP6,0.03109763401572513
Cm12,Tm37,0.00048477391583155304
Cm12,Tm4,0.0005125411136205115
Cm12,Tm9,0.07337203563075238
Cm12,TmY20,0.041843808707600454
Cm18,Cm4,0.06621980376748593
Cm18,Dm-DRA1,0.13307378783823065
Cm18,MeTu2b,0.06916744529294537
Cm18,MeTu3b,0.14291831149739773
Cm18,MeVP15,0.11310725679834846
Cm18,Mi15,0.050821111077966226
Cm18,Tm5c,0.09536840442749245
Cm18,TmY10,0.024869906188071167
Cm20,Cm18,0.15575499437310492
Cm20,Cm20,0.06410052296502444
Cm20,Cm22,0.06681636298251005
Cm20,Cm5,0.05312916187627319
Cm20,Cm8,0.13328478313785974
Cm20,Dm-DRA1,0.2418391215273258
Cm20,MeTu1,0.011452241565704738
Cm20,MeTu2a,0.43537768316196546
Cm20,MeTu2b,0.26317062498334665
Cm20,MeTu3b,0.06040880796333773
Cm20,MeTu3c,0.008233585335546183
Cm20,MeVP12,0.027523646201084478
Cm20,MeVP14,0.04884833855088933
Cm20,MeVP15,0.1599061130629754
Cm20,MeVP6,0.0035758603964968416
Cm20,Tm5a,0.10556111423376305
Cm20,TmY18,0.02312387493444942
Cm20,aMe5,0.08786044666613127
Cm22,Cm20,0.06145863096512436
Cm22,Cm4,0.16533560223632002
Cm22,Dm-DRA1,0.04210059132881289
Cm22,MeTu2a,0.20240996566112038
Cm22,MeTu2b,0.06074130381947709
Cm22,MeTu3a,0.06563987177035344
Cm22,MeTu3b,0.033815085864812966
Cm22,MeVP15,0.012837113936700735
Cm22,Mi15,0.23662158734101815
Cm22,Tm37,0.00024680846346823785
Cm3,Cm12,0.06470654189040902
Cm3,Cm20,0.05764825999866644
Cm3,Cm22,0.06918774837941158
Cm3,Cm3,0.04855063894390356
Cm3,Cm4,0.04929068431492768
Cm3,Cm5,0.15669478543895965
Cm3,Cm6,0.07511582463450885
Cm3,Cm8,0.24117669372574535
Cm3,Cm9,0.05860574381999136
Cm3,Dm2,1.0094761355068655
Cm3,Dm8a,0.12518477643755077
Cm3,MeLo13,5.869817892864623e-05
Cm3,MeLo5,0.08476615926008473
Cm3,MeLo6,0.11186425675090966
Cm3,MeTu1,0.45050377787746243
Cm3,MeTu3b,0.00476285254089315
Cm3,MeTu4a,0.034152596197015155
Cm3,MeVP14,0.053249883268801215
Cm3,MeVP6,0.02758178060909306
Cm3,Mi17,0.13834023527261902
Cm3,Mi4,0.43306045871911447
Cm3,Pm4,0.00012615513620728864
Cm3,Tm12,0.03788534004386536
Cm3,Tm16,0.007600326819598994
Cm3,Tm29,0.18268873870128388
Cm3,Tm3,0.025329795098278207
Cm3,Tm32,0.000620646345641901
Cm3,Tm35,0.060980402167185845
Cm3,Tm37,0.02017056839979159
Cm3,Tm39,0.06326158255987333
Cm3,Tm40,0.07698291368896572
Cm3,Tm5c,0.19072524831989865
Cm3,TmY17,0.00019436471668843203
Cm3,TmY18,0.06684066129579415
Cm3,TmY3,0.030409628420895955
Cm3,Tm_unclear,0.0008311399718965728
Cm3,Y13,0.0001884603337841543
Cm4,Cm12,0.06462147854586943
Cm4,Cm18,0.07797013856847196
Cm4,Cm3,0.07996460112472112
Cm4,Cm6,0.0019147680173661522
Cm4,Cm7,0.00018087302904070624
Cm4,Cm8,0.12115452366420934
Cm4,Cm9,0.0004048297532972003
Cm4,Dm-DRA2,0.16256320171295563
Cm4,Dm8a,0.04563306656825649
Cm4,Dm8b,0.06995531717056118
Cm4,MeTu1,0.04523778685893337
Cm4,MeTu3b,0.26460857971058055
Cm4,MeTu3c,0.060285928716823825
Cm4,MeTu4a,0.05602103928465417
Cm4,MeVP14,0.1531441250062158
Cm4,MeVP15,0.049422893673092896
Cm4,MeVP6,0.00013090943288757514
