rule,seed,epoch,J,MI_lb,E_total,compute_cost
Oja,0,74,-104.24656343946918,0.5479033372717064,10479.446677674088,75
Oja,0,75,-104.38742388453296,0.4440153581899171,10483.143924272288,76
Oja,0,76,-103.9435953340887,0.9898978508452707,10493.349318493396,77
Oja,0,77,-104.17388289158231,0.8169150050129468,10499.079789659525,78
Oja,0,78,-104.81918867608096,0.0,10481.918867608096,79
Oja,0,79,-104.70343091340489,0.2618904406514644,10496.532135405636,80
Oja,0,80,-104.70389323458953,0.22729493610826257,10493.118817069779,81
Oja,0,81,-104.95456707506735,0.008575112639832572,10496.314218770718,82
Oja,0,82,-104.4611197916336,0.5804238664823718,10504.154365811599,83
Oja,0,83,-104.9686906029025,0.0,10496.86906029025,84
Oja,0,84,-104.08670539342616,0.8972050511446401,10498.39104445708,85
Oja,0,85,-104.0328311985986,1.0119404003739438,10504.477159897255,86
Oja,0,86,-104.99046471214733,0.015426706287723135,10500.589141843506,87
Oja,0,87,-104.47570611736043,0.5414162555054536,10501.712237286589,88
Oja,0,88,-104.51610738244071,0.4349291006242222,10495.103648306493,89
Oja,0,89,-104.27979900338183,0.8485431409340851,10512.83421443159,90
Oja,0,90,-104.05835302690939,0.9817014293814914,10504.005445629087,91
Oja,0,91,-103.96674453375704,0.9656063021355905,10493.235083589263,92
Oja,0,92,-104.45184706620319,0.6843961629137958,10513.624322911699,93
Oja,0,93,-104.80791400984957,0.34537147138459634,10515.328548123416,94
Oja,0,94,-103.51188442451172,1.5976292249681245,10510.951364947985,95
Oja,0,95,-104.28983689618762,0.8470272903623779,10513.686418655,96
Oja,0,96,-104.43516961693497,0.7137266777764752,10514.889629471145,97
Oja,0,97,-103.65195078034728,1.5339179312946847,10518.586871164196,98
Oja,0,98,-103.49160279697227,1.6254616939986883,10511.706449097095,99
Oja,0,99,-103.5058691514454,1.7117244721637808,10521.759362360917,100
Oja,0,100,-103.73229540242454,1.546320891340709,10527.861629376524,101
Oja,0,101,-104.32598561603695,0.9419296098080716,10526.7915225845,102
