patch_idx,rule,Ew_norm,Rho,ShortShare,reciprocal_fraction,201_z,120U_z,300_z,021C_z,D_3z,motif_dist_to_bio
0,EProp,0.5348518536915506,-0.2734585264891737,0.6510000040366172,0.20207743153918792,11.33215641506583,5.362762922149747,26.592493570286226,-13.038544621042078,2.029985738916126,4.179165488037804
0,RewardHebb,0.5750583523739679,-0.287372888135562,0.6562602942252964,0.21226874391431352,14.217061602132105,12.486988533233623,23.90745858099633,-13.886071268505823,2.218779067125899,3.626798542907654
0,REINFORCE,0.6627932060467975,-0.043587886997028896,0.34640469773950777,0.22051773729626079,13.325089490509402,17.380078596075116,10.906119667521768,-12.626998086550667,3.0123414519929774,4.44850538010649
0,Oja,0.6585963849175114,-0.1763076533214054,0.309003365730257,0.22403846153846155,14.046729674107674,13.79249768362373,19.5430452947219,-9.83446953112725,2.9936609541161996,4.3669258903778605
1,EProp,0.5691598529000642,-0.20804128695401478,0.4704230283862761,0.19718309859154928,20.37578212583228,9.039271189548556,20.829366563997535,-12.001685623823345,1.3428830560521918,3.1691051183739196
1,RewardHebb,0.6023260267438473,-0.215165001073608,0.4794591862511489,0.2046058458813109,22.7216017268645,17.21131789381366,24.196794177842,-18.169118409037136,1.7800429454661109,3.6035988158862593
1,REINFORCE,0.6602306533384316,-0.035886889941594745,0.2716078712482016,0.21212121212121213,7.695019126202373,15.504331989890556,22.760187351294658,-7.0694757730823365,3.6619509544920916,2.762316836557965
1,Oja,0.6585282190928221,-0.09543674566154307,0.219081409672272,0.21428571428571427,12.90627811720938,13.969444111781026,23.612758012712558,-18.92250945964472,3.6664028589616096,3.5887913062813928
2,EProp,0.5812058883995994,-0.203594454722405,0.5336865222838313,0.19965870307167236,14.20548218700539,5.7653307410260375,24.548237592749636,-16.111938514671273,1.0998500097001105,3.737656849291331
2,RewardHebb,0.616825089277916,-0.20320264608207278,0.5369866052557896,0.22075637642919965,16.994479358851294,7.506329113924049,16.38205715277264,-16.22446427397971,1.1615097392505316,4.081826245725969
2,REINFORCE,0.6870172276838042,-0.03450321523179662,0.3236411475685926,0.22260869565217392,8.091921305420062,7.7184366089905385,8.483460670757802,-9.317399029200237,2.8281388031280734,4.7233705924790055
2,Oja,0.6851450095886228,-0.09614536814846975,0.2997308701349065,0.2268760907504363,8.499549943616334,10.099558942455152,5.3251086342511345,-6.682986314029077,2.6841076429325486,5.067353218147225
3,EProp,0.5981344054948033,-0.19776797594281462,0.59406904107373,0.20659340659340658,19.948686295944725,4.5556286907995185,30.159446683111824,-14.150052093822168,0.9442444827561117,3.094311537715842
3,RewardHebb,0.6344557209956341,-0.1947212042471273,0.5947642471047624,0.2264591439688716,24.814624429056376,5.9483668316329465,24.47006838109249,-13.870476351227207,1.039860840421595,3.7300162937212797
3,REINFORCE,0.7035581480160145,-0.037246479048867916,0.3233856212760053,0.20571010248901903,9.025288656901026,11.664195827708763,13.34123139725723,-13.831781568569687,2.86054773083109,2.560235716895426
3,Oja,0.702156583974362,-0.06742186406413071,0.30528472653547345,0.20306793279766253,6.4635156723212,11.308015837684367,10.999726380070479,-7.390994939201166,2.7772871630477574,2.998252168035432
4,EProp,0.5989615886125995,-0.17191178292419315,0.5438152135683354,0.19932716568544995,33.297622198203136,17.91919243791747,22.166264805431044,-22.113030633869748,0.6196272350868214,5.443241824787135
4,RewardHebb,0.6316303530060676,-0.1679699994680878,0.5417108355999423,0.21410146173688735,17.307325036599376,12.286366139153841,34.712886021743415,-13.210000182704482,1.0905105184491672,4.616028290001585
4,REINFORCE,0.6804273128803567,-0.03260774171798897,0.33482614400711885,0.20033670033670034,7.391773527078457,16.37247601966461,7.78849818524309,-8.591006077963657,2.888006003536353,3.1455478568671786
4,Oja,0.6798215151485446,-0.04016869275108274,0.28065787410417714,0.20745131244707873,8.845747500414637,11.379344862051132,7.698986840230479,-7.64129896153262,3.0823243137484617,3.8768540376719822
